No,Non
Email,Email
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,Oui
"Multiple Select","Sélection multiple"
Dropdown,Déroulant
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Formulaire EAV par défaut"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","Champ de texte"
"Text Area","Zone de texte"
"Multiple Line","Plusieurs lignes"
Date,Date
Yes/No,Oui/non
"File (attachment)","Fichier (pièce jointe)"
"Image File","Fichier image"
Alphanumeric,Alphanumérique
"Numeric Only","Chiffres seulement"
"Alpha Only","Lettres seulement"
URL,URL
"Strip HTML Tags","Enlever tags HTML"
"Escape HTML Entities","Eviter entités HTML"
"Normalize Date","Normaliser la date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
