"Account Number","帐户号码"
"Card Verification Number","卡片验证号码"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug Flag","调试标志"
"Demo Mode","试用模式"
"Enabled","已启用"
"Expiration Date","过期日期"
"Flo2Cash Payment Web Service","Flo2Cash网络支付服务"
"For ""Authorize"" or ""Capture"" transactions only.","仅限“授权的”或“获得的”交易。"
"For ""Purchase"" transactions only.","仅限“购买”交易。"
"Name on Card","卡片上的名字"
"Name on the Card: %s","卡片上的名字：%s"
"New Order Status","新订单状态"
"Password","密码"
"Payment Action","支付操作"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Please Select","请选择"
"Sort Order","排序顺序"
"Title","标题"
"Username","用户名"
"What is this?","这是什么？"
