"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税。"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 及以上"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","只适用于产品目录和类别。任何媒体内容将被插入到一个静态的URL编辑器。如果系统配置基础的URL更改了，它也不会随之更新。"
"Apply MAP (Default Value)","MAP应用（预设值）"
"Apply To","应用给"
"Approved","已批准"
"Are you sure you want to delete this category?","你确定要删除此类别？"
"Are you sure you would like to remove all products from your comparison?","你确定要是删除所有对比的产品？"
"Are you sure you would like to remove this item from the compare products?","你确定要从对比产品中删除这个项目？"
"Are you sure?","您是否确认？"
"As low as:","低至："
"Assign","、分配"
"Assign product link","分配的产品链接"
"Assign product to category","分配产品到分类"
"Assigned Products","分配的产品"
"Associated Products","相关的产品"
"Attrib. Set Name","属性。 设置名称"
"Attribute ""%s"" is invalid.","属性 “%s” 无效。"
"Attribute ""%s"" is required.","属性 ""%s"" 是必须的。"
"Attribute Information","属性信息"
"Attribute Model","属性模型"
"Attribute Name:","属性名："
"Attribute Set","属性集"
"Attribute Sets","属性集"
"Attribute add","添加的属性"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性代码无效。在该字段中请只使用字母（a-z）、数字（0-9），或下划线（_），第一个字符必须是字母。"
"Attribute group with the \/name/\ name already exists","使用该\/name/\ 名称的属性组已经存在。"
"Attribute remove","删除属性"
"Attribute with the same code already exists","使用相同代码的属性已存在"
"Attributes","属性"
"Attrribute names can be specified per store.","属性名可是每店铺专用的。"
"Autogenerate","自动生成"
"Availability:","可用性："
"Back","返回"
"Backend Model","后端模式"
"Backend Table","后端表格"
"Backend Table Title","后端表格标题"
"Backorders","缺货"
"Based On","基于"
"Before Order Confirmation","在订单确认之前"
"Best Value","最佳值"
"Block after Info Column","信息栏之后阻止"
"Bottom Block Options Wrapper","底部阻止选项包装"
"Bottom/Left","底部/左侧"
"Bottom/Right","底部/右侧"
"Browse By","浏览者："
"Bundle Items","捆绑项"
"Buy %1$s","购买 %1$s"
"Buy %1$s for","购买 %1$s："
"Buy %1$s for %2$s","为 %2$s 购买 %1$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","为每 %2$s（%3$s 含税）购买 %1$s"
"Buy %1$s for %2$s each","为每 %2$s 购买 %1$s"
"Cache Lifetime (Seconds)","缓存生存时间（秒）"
"Cache refresh needed.","需要刷新缓存。"
"Can be Divided into Multiple Boxes for Shipping","可拆分为多个箱发货"
"Can be used only with catalog input type Dropdown","仅可用于类别输入类型 下拉"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","仅可用于类别输入类型　下拉、多选和价格"
"Can\'t create image.","无法创建图片。"
"Cancel","取消"
"Cannot create image.","无法创建图片。"
"Cannot create writeable directory '%s'.","无法创建可写的目录 '%s'。"
"Cart Item Attribute","购物车项目属性"
"Catalog","分类"
"Catalog Category (Anchor)","分类类别（固定）"
"Catalog Category (Non-Anchor)","分类类别（不固定）"
"Catalog Category Link","分类类别链接"
"Catalog New Products List","分类新产品列表"
"Catalog Price Scope","分类价格范围"
"Catalog Product Compare List","分类产品比较列表"
"Catalog Product Email to a Friend","将分类产品用邮件发送给朋友"
"Catalog Product Image Gallery Popup","分类产品图像库弹出窗口"
"Catalog Product Link","分类产品链接"
"Catalog Product View (Any)","分类产品视图（任意）"
"Catalog Product View (Configurable)","分类产品视图（可配置）"
"Catalog Product View (Grouped)","分类产品视图（分组）"
"Catalog Product View (Simple)","分类产品视图（简单）"
"Catalog Product View (Virtual)","分类产品视图（虚拟）"
"Catalog Section","分类选择"
"Catalog Seo Popular Search Terms","分类SEO流行的搜索条件"
"Catalog Seo Sitemap (Category List)","分类SEO站点结构图（分类列表）"
"Catalog Seo Sitemap (Category Tree)","分类SEO站点结构图（分类树）"
"Catalog Seo Sitemap (Common)","分类SEO站点结构图（常用）"
"Catalog Seo Sitemap (Product List)","分类SEO站点结构图（产品列表）"
"Catalog URL Rewrites","分类URL重写"
"Catalog product custom option values API","编录产品自定义选项值 API"
"Catalog product custom options API","编录产品自定义选项 API"
"Catalog, Search","分类，搜索"
"Categories","分类"
"Categories Sitemap","分类站点结构图"
"Category","分类"
"Category API","分类API"
"Category Data","分类数据"
"Category Flat Data","分类平坦数据"
"Category Link Block Template","分类链接块模板"
"Category Link Inline Template","分类链接内联摸板"
"Category Products","分类产品"
"Category Top Navigation","分类顶部导航"
"Category URL Suffix","分类 URL 后缀"
"Category attributes API","分类属性 API"
"Category move error","分类移动错误"
"Category move operation is not possible: parent category is equal to child category.","无法进行分类移动操作：母类别与子类别相同。"
"Category move operation is not possible: the current category was not found.","无法进行分类移动操作：无法找到当前类别。"
"Category move operation is not possible: the new parent category was not found.","无法进行分类移动操作：无法找到新的母类别。"
"Category must be an instance of Mage_Catalog_Model_Category.","分类必须为 Mage_Catalog_Model_Category 的一个实例。"
"Center","中心"
"Change","更改"
"Change or Retrieve attribute store view","更改或取回属性商店视图"
"Change status","更改状态"
"Check items to add to the cart or","检查要加入购物车的内容"
"Choose an Option...","选择选项..."
"Clear All","清除全部"
"Clear Price","清除价格"
"Click for price","单击获取价格"
"Close Window","关闭窗口"
"Collapse All","折叠全部"
"Comma-separated.","逗号分隔。"
"Comparable","可比较"
"Comparable on Front-end","前端可比较"
"Comparable on the Frontend","前端可比较"
"Compare","比较"
"Compare Products","比较产品"
"Conditions Combination","条件组合"
"Configurable Product","可配置的产品"
"Configurable Product Settings","可配置的产品设置"
"Configure Product","配置产品"
"Continue","继续"
"Copy From Configurable","从配置中复制"
"Country/State","国家/州"
"Create","创建"
"Create (Upload)","创建（上传）"
"Create Empty","创建空的"
"Create Permanent Redirect for URLs if URL Key Changed","如果 URL 键有变动，为该 URL 创建永久重定向"
"Create Permanent Redirect for old URL","为老URL创建永久重定向"
"Create Product Settings","创建产品设置"
"Create Simple Associated Product","创建简单的关联产品"
"Create attribute set based on another set","根据另一个集创建属性集"
"Create new attribute","创建新属性"
"Create new category","创建新分类"
"Create new product","创建新产品"
"Cross-sells","交叉销售"
"Currently Shopping by:","目前的购物者："
"Custom Design","自定义设计"
"Custom Options","自定义选项"
"Custom options","自定义选项"
"Customer Group","客户组"
"Customers Reviews","客户评测"
"Customers Tagged Product","客户标记的产品"
"Data Type for Saving in Database","要保存在数据库中的数据类型"
"Date & Time Custom Options","日期和时间自定义选项"
"Date Fields Order","日期字段顺序"
"Date Subscribed","订阅日期"
"Datetime","日期时间"
"Decimal","十进制"
"Declare attribute value saving scope","声明属性值保存范围"
"Default ""What's This"" Text Message","默认“这是什么” 文字信息"
"Default Popup Text Message","默认弹出窗口文字信息"
"Default Price","默认价格"
"Default Price Navigation Step","默认价格导航步骤"
"Default Qty","默认数量"
"Default Values","默认值"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定义基准币种范围 (""币种设置"" > ""币种选项"" > ""基准币种"")。"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性集"
"Delete Category","删除分类"
"Delete Group Price","删除组价格"
"Delete Option","删除选项"
"Delete Row","删除行"
"Delete Search","删除搜索"
"Delete Selected Group","删除所选组"
"Delete Tier","删除层"
"Delete attribute","删除属性"
"Delete category","删除分类"
"Delete product","删除产品"
"Depends on design theme","取决于设计主题"
"Design","设计"
"Details","详情"
"Disabled","已禁用"
"Disallowed file type.","不允许的文件类型。"
"Display Actual Price","显示实际价格"
"Display Price Interval as One Price","将价格间隔显示为一个价格"
"Display Product Count","显示产品数量"
"Display in Suggested Terms","显示建议的搜索条件"
"Double click on a group to rename it","双击组即可更名"
"Double click on above image to view full picture",""
"Downloadable Information","可下载的信息"
"Duplicate","副本"
"Duplicate amount found.",""
"Duplicate website group price customer group.",""
"Duplicate website tier price customer group and quantity.","副本网站层价格客户分组和数量。"
"Duplicate website, country and state tax found.","找到副本网站、国家，以及州税率。"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例如， {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。动态指令解析将影响到分类的性能。"
"Edit","编辑"
"Edit Attribute Set '%s'","编辑属性集 '%s'"
"Edit Product Attribute",""
"Edit Product Attribute ""%s""","编辑产品属性 ""%s"""
"Edit Search","编辑搜索"
"Edit Search '%s'",""
"Edit Set Name","编辑集名称"
"Email","电子邮件"
"Email to a Friend","给朋友发邮件"
"Empty","空"
"Enable MAP","启用映射"
"Enable Qty Increments",""
"Enable WYSIWYG","启用所见即所得"
"Enabled","已启用"
"Error during retrieval of option value: %s","获取选项值 %s的过程中出错"
"Exclude",""
"Expand All","全部展开"
"Failed","已失败"
"Failed to copy file %s. Please, delete media with non-existing images and try again.",""
"Failed to move file: %s","移动文件 %s 失败"
"Feature Products","主要产品"
"Field is not complete","字段不完整"
"File options format is not valid.","文件选项格式无效"
"File upload failed","文件上传失败"
"Filter model name must be declared.",""
"Filter must be an object. Please set correct filter.","筛选器必须是对象。请设置正确的筛选器。"
"Filterable (no results)","可筛选（无结果）"
"Filterable (with results)","可筛选（有结果）"
"First Name","名字"
"Fixed",""
"For internal use.","限内部使用。"
"For the last time placed.",""
"Frontend","前端"
"Frontend Model","前端模式"
"Frontend Properties","前端属性"
"Gallery","画廊"
"General Information","常规信息"
"Get full information about attribute with list of options",""
"Get full information about custom option in product","获取产品中自定义选项的完整信息"
"Get list of available custom option types","获取可用自定义选项类型列表"
"Get list of non-default attributes by product type and attributes set",""
"Get list of possible attribute types","获取可能的属性类型列表"
"Get special price","获取特惠价格"
"Global","全球"
"Globally Editable",""
"Go to Home Page","前往主页"
"Grid","网格"
"Group add","组添加"
"Group remove",""
"Grouped Product","分组产品"
"Groups","群组"
"Home",""
"ID","ID"
"ID: %s","ID：%s"
"If empty, the Category Name will be used",""
"If empty, the Product Name will be used","如果为空，则使用产品名称"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您不为特定商店视图指定一个选项值，则使用默认 (Admin) 值。"
"Image","图案"
"Image content is not valid base64 data.",""
"Image does not exist.","图片不存在。"
"Image file was not found.","无法找到图片文件。"
"Image type and information need to be specified for each store view.",""
"In Cart","购物车"
"In Stock","有货"
"In stock",""
"Incl. Tax","含税"
"Index product and categories URL rewrites","索引产品和类别 URL 重写"
"Index product attributes for layered navigation building","为分层导航建筑索引产品属性"
"Index product prices","索引产品价格"
"Indexed category/products association","已索引的分类/产品关联"
"Info",""
"Info Column Options Wrapper","信息栏选项包装"
"Input Type","输入类型"
"Integer",""
"Interval Division Limit",""
"Invalid Tier Prices","无效的层价格"
"Invalid attribute %s","无效的属性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","为属性 %s (%s) 指定的属性选项无效，正在跳过该记录。"
"Invalid attribute set specified, skipping the record.","指定的属性集无效，正在跳过该记录。"
"Invalid block: %s.","无效的块： %s。"
"Invalid category IDs.","无效分类ID。"
"Invalid category.","无效的分类。"
"Invalid image file type.",""
"Invalid image type.","无效的图像类型。"
"Invalid option ID specified for %s (%s), skipping the record.","为 %s (%s) 指定的选项ID无效，正在跳过该记录。"
"Invalid product type specified, skipping the record.","指定的产品类型无效，正在跳过该记录。"
"Invalid store specified","指定的店铺无效"
"Invalid store specified, skipping the record.","指定的店铺无效，正在跳过该记录。"
"Invalid tier prices. The product is not associated to the requested website.","无效层价格。该产品与所请求的网站无关联。"
"Inventory","盘点"
"Is Default","为默认值"
"Is Required","为必须"
"Items %s to %s of %s total",""
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","您不希望显示在分类或搜索结果中的内容应在目标店铺中设置'Disable'状态。"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","您不希望在分类或搜索结果中显示的内容应在目标店铺中设置'Disabled'状态。"
"Keep your eyes open for our special Back to School items and save A LOT!","睁大眼睛找到特殊的“返校” 项目，获得大实惠！"
"Label","标签"
"Last Name","姓氏"
"Last Notification","最新通知"
"Layered Navigation","分层导航"
"Learn More","了解更多"
"Line %d, Email: %s","第%行，邮箱：%"
"Line %d, SKU: %s",""
"Link (Related, Up sell, Cross sell)",""
"Link product does not exist.","链接的产品不存在。"
"Link to a Specified Category","链接到指定的分类"
"Link to a Specified Product","链接到指定产品"
"List","列表"
"List Mode",""
"List of Products that are set as New","名单被定为新产品"
"List of types",""
"Manage Attribute Sets",""
"Manage Attributes",""
"Manage Catalog Categories","管理分类类别"
"Manage Categories","管理分类"
"Manage Label / Options","管理标签/选项"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes",""
"Manage Product Sets","管理产品设置"
"Manage Products","管理产品"
"Manage Stock","库存管理"
"Manage Titles (Size, Color, etc.)","管理名称（尺寸，颜色等）"
"Max Characters","字符数上限"
"Maximal Depth","最大深度"
"Maximum Image Size","最大图像大小"
"Maximum Number of Price Intervals","价格间隔最大数量"
"Maximum Qty Allowed in Shopping Cart","购物车数量上限"
"Maximum allowed image size for '%s' is %sx%s px.",""
"Maximum image height",""
"Maximum image width","图片最大宽度"
"Maximum number of characters:","最大字符数："
"Maximum number of price intervals is 100","价格间隔的最大数量为100"
"Media Image","媒体图片"
"Minimum Advertised Price","最低广告价格"
"Minimum Lines per Page","每页最低行数"
"Minimum Qty Allowed in Shopping Cart","购物车里允许的最少数量"
"Minimum Qty for Item\'s Status to be Out of Stock","商品状态的最小数量为缺货"
"Missing SKU, skipping the record.","丢失SKU，正在跳过该记录。"
"More Views","更多视图"
"Move",""
"Move category in tree","在树中移动分类"
"Must be in the allowed values list.","必须位于允许的值列表中。"
"N/A","N/A"
"Name","姓名"
"Name in %s","%s的名称"
"New Product","新产品"
"New Product Attribute","新产品属性"
"New Products","新产品"
"New Products Grid Template",""
"New Products List Template","新产品列表模板"
"New Root Category",""
"New Search",""
"New Set Name","新集名称"
"New Subcategory","新建子类别"
"Next","下一个"
"No","否"
"No image",""
"No layout updates","无布局更新"
"No options of this product are available.",""
"No product collections found.","未找到产品集合。"
"None","无"
"Not Visible Individually","无独立可见性"
"Notify Low Stock RSS","存货不足RSS通知"
"Notify for Quantity Below","存量过低通知"
"Number of Products to Display","显示的产品数量"
"Number of Uses","用户数"
"Number of results",""
"Number of results (For the last time placed)",""
"OK","确定"
"OR",""
"Old Price:",""
"On Gesture","手势"
"Option validation failed to add product to cart.","添加产品到购物车时选项验证失败。"
"Option values",""
"Option:","选项："
"Options","选项"
"Options Control","选项控制"
"Options is required",""
"Our customer service is available 24/7. Call us at (555) 555-0123.","我们提供全天候客户服务。请致电我们 (555) 555-0123。"
"Out of Stock","无货"
"Out of stock","缺货"
"PM","PM"
"Page Title Separator","页面标题分隔器"
"Parent Category","父分类"
"Pending","挂起"
"Pending Reviews RSS",""
"Percentage","百分率"
"Please add rows to option.","请添加选项行。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.",""
"Please click on the Close Window button if it is not closed automatically.","如果没有自动关闭，请点击关闭窗口按钮。"
"Please enter a new group name","请输入新组的名称"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>",""
"Please select a static block ...","请选择一个静态块..."
"Please select items.","请选择项目。"
"Please select one or more attributes.","请选择一个或多个属性。"
"Please select product(s).","请选择产品。"
"Please select products for attributes update","请选择要更新属性的产品"
"Please set up merge date/time","请设置合并日期/时间"
"Please set up merge date/time later then present date","请设置比当前时间晚的合并日期/时间"
"Please specify date required option(s).","请指定日期需要的选项。"
"Please specify the number of products, that will not be divided into subintervals.",""
"Please specify the product required option(s)","请指定产品需要的选项"
"Please specify the product required option(s).","请指定产品需要的选项。"
"Please specify the product\'s option(s).","请指定产品的选项。"
"Please specify the product\'s required option(s).","请指定产品的必要选项。"
"Please specify the quantity of product(s).","请指定产品数量。"
"Please specify time required option(s).","请指定时间需要的选项。"
"Please wait...","请稍候..."
"Position","位置"
"Position in Layered Navigation","在层次式导航中定位"
"Position of attribute in layered navigation block",""
"Prev","上一个"
"Previous",""
"Price","价格"
"Price Navigation Step Calculation","价格导航步骤计算"
"Price Type","价格类型"
"Price is not available",""
"Price values for options should be specified in system base currency.",""
"Price:","价格："
"Price: %s","价格：%s"
"Print This Page","打印本页面"
"Product","产品"
"Product API","产品 API"
"Product Alerts","产品警报"
"Product Attribute","产品属性"
"Product Attributes","产品属性"
"Product Categories","产品分类"
"Product Extra Info","产品的额外信息"
"Product Flat Data",""
"Product ID","产品 ID"
"Product Image Placeholders","产品图像占位符"
"Product Image Watermarks","产品图像水印"
"Product Images","产品图像"
"Product Images API","产品图片 API"
"Product In Websites","网站中的产品"
"Product Info Column",""
"Product Information","产品信息"
"Product Link Block Template","产品链接区块模板"
"Product Link Inline Template","产品链接内联模板"
"Product Listing Sort by",""
"Product Name","产品名"
"Product Prices","产品价格"
"Product Reviews","产品评测"
"Product Tags",""
"Product Tier Price API",""
"Product Type","产品类型"
"Product URL Suffix","产品URL前缀"
"Product View Extra Hint","产品视图额外提示"
"Product attribute sets API",""
"Product attributes API","产品属性 API"
"Product collection expected.","预期的产品集合。"
"Product is not loaded","产品尚未加载"
"Product links API (related, cross sells, up sells)","产品链接API（相关、交叉销售、超售）"
"Product name",""
"Product types API","产品类型API"
"Product with this combination of attributes already associated to configurable.",""
"Products","产品"
"Products Comparison List","产品比较列表"
"Products Information","产品信息"
"Products Reviews","产品评论"
"Products Sitemap","产品网站地图"
"Products only","仅产品"
"Products per Page on Grid Allowed Values","网格允许的数值中的每页产品数量"
"Products per Page on Grid Default Value","网格默认值每页产品"
"Products per Page on List Allowed Values","列表允许值每页产品"
"Products per Page on List Default Value","列表默认数值中的每页产品数量"
"Properties","属性"
"Qty","数量"
"Qty Increments","数量增量"
"Qty Uses Decimals",""
"Qty for Item\'s Status to Become Out of Stock","项目的状态变为无货时的数量"
"Qty:","数量："
"Quantity","数量"
"Quick Create",""
"Quick Overview","快速概述"
"Quick simple product creation","快速简单产品创建"
"Records for ""","针对 "" 的记录"
"Redirect","重定向"
"Redirect URL","重定向URL"
"Regular Price:","常规价格："
"Related Products",""
"Remove","删除"
"Remove Product From Websites","从网站删除产品"
"Remove This Item","删除该内容"
"Remove attribute from attribute set",""
"Remove attribute set",""
"Remove custom option",""
"Remove group from attribute set",""
"Remove option","删除选项"
"Remove product assignment",""
"Remove product image","删除产品图片"
"Remove product link","删除产品链接"
"Remove value from custom option","从自定义选项中删除值"
"Rename existing group","现有组改名"
"Rename group","组改名"
"Reorganize EAV category structure to flat structure","重新识别EAV分类结构为平坦结构"
"Reorganize EAV product structure to flat structure","重新整理EAV产品结构为平坦结构"
"Reset","重置状态"
"Results","结果"
"Retrieve attribute data","获取属性数据"
"Retrieve attribute list","获取属性列表"
"Retrieve attribute options",""
"Retrieve categories tree","获取分类树"
"Retrieve category attributes","获取分类属性"
"Retrieve category data","获取分类数据"
"Retrieve hierarchical tree","获取层次结构树"
"Retrieve linked products","获取链接的产品"
"Retrieve list of assigned products","获取已分配产品列表"
"Retrieve list of option values","获取选项值列表"
"Retrieve list of product custom options","获取产品自定义选项列表"
"Retrieve one level of categories by website/store view/parent category","获取网站/店铺视图/父分类的 一级分类"
"Retrieve option value info","获取选项值信息"
"Retrieve product",""
"Retrieve product attribute sets","获取产品属性集"
"Retrieve product image",""
"Retrieve product image list","获取产品图片列表"
"Retrieve product image types","获取产品图片类型"
"Retrieve product link type attributes","获取产品链接类型属性"
"Retrieve product link types","获取产品链接类型"
"Retrieve product tier prices","获取产品层价格"
"Retrieve product types",""
"Retrieve products data","获取产品数据"
"Retrieve products list by filters","按照筛选器获取产品列表"
"Reviews","评测"
"Roll Over for preview","翻转预览"
"Root","根"
"SKU","SKU"
"SKU length should be %s characters maximum.",""
"Save","保存"
"Save Attribute",""
"Save Attribute Set","保存属性集"
"Save Category","保存分类"
"Save Search","保存搜索"
"Save and Continue Edit","保存并继续编辑"
"Saved %d record(s)","已保存 %s 条记录"
"Scope","范围"
"Scope must not be changed, because the attribute is used in configurable products.","范围不能更改，因为可配置产品中使用了属性。"
"Search","搜索"
"Search Engine Optimizations","搜索引擎优化"
"Search Information",""
"Search Query","搜索查询"
"Search Term with such search query already exists.",""
"Search Weight","搜索高度"
"Searchable","可搜索"
"See price before order confirmation.","确认订单前显示价格。"
"Select Category...",""
"Select Configurable Attributes ","选择可配置属性"
"Select Product...",""
"Select type of option","选择选项类型"
"Select type options required values rows.","选择需要值的选项类型。"
"Selected Product Types","选择产品类型"
"Selected configuration is not available.","所选的配置不可用。"
"Send Count",""
"Set Ascending Direction","设置降序顺序"
"Set Descending Direction",""
"Set Name","设置名称"
"Set Root Category for Store",""
"Set root category for this store in the <a href=""%s"">configuration</a>","请在 <a href=""%s"">配置</a>中为此店铺设置根目录"
"Set special price",""
"Set/Get current store view","设置/获取当前店铺视图"
"Settings",""
"Shop By","购物"
"Shopping Options","购物选项"
"Show",""
"Show Details","显示详情"
"Show Tags","显示标签"
"Simple Product","简单产品"
"Site Map","站点结构图"
"Sitemap","站点结构图"
"Skip import row, is not valid value ""%s"" for field ""%s""",""
"Skip import row, required field ""%s"" for the new customer is not defined.",""
"Skip import row, the value ""%s"" is invalid for field ""%s""",""
"Skipping import row, required field ""%s"" for new products is not defined.","正在跳过导入的行，新产品所需的字段 ""%s"" 未定义。"
"Skipping import row, required field ""%s"" is not defined.","跳过导入的行，必须的 ""%s"" 字段未定义。"
"Skipping import row, store ""%s"" field does not exist.",""
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.",""
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","某些已经处理的产品无有效SKU值。请在针对这些产品执行操作前首先填写。"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","下列某些产品必须的选项不完整。请修改并配置所有必须的选项。"
"Sort By","分类依据"
"Sort Order","排序顺序"
"Source Model",""
"Special Expires On: %s","特殊过期于： %s"
"Special Price:",""
"Special Price: %s","特殊价格： %s"
"Starting at:","开始于："
"Static","静态"
"Static block and products","静态区块和产品"
"Static block only","仅静态区块"
"Status","状态"
"Stock Availability","库存状况"
"Store","商店"
"Store View","店铺视图"
"Stretch","拉伸"
"Subscribe to RSS Feed","订阅到 RSS 源"
"Super product attributes configuration","超级产品属性配置"
"Synonym For","同义词"
"System Properties","系统属性"
"Tag Name","标签名称"
"Tax","传真"
"Template",""
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平坦分类模块被限制为 %2\$d 个筛选器和/或可排序属性。目前已经使用了 %1\$d 个。为了使用该模块，请减少所用筛选器/排序属性的数量"
"The attribute model is not defined","属性型号未定义"
"The attribute set has been saved.","属性集已保存。"
"The base directory to upload file is not specified.","文件上传的基本目录尚未指定。"
"The category has been deleted.",""
"The category has been saved.","类别已保存。"
"The comparison list was cleared.","比较列表被清空。"
"The file '%s' for '%s' has an invalid extension","'%s' 的文件 '%s' 扩展有误"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server",""
"The file you uploaded is larger than %s Megabytes allowed by server","您上传的文件大于服务器所允许的 %s 兆字节"
"The filters must be an array.",""
"The image contents is not valid base64 data.","图像内容不是有效的 base64 数据。"
"The image is not specified.","图片未指定。"
"The model collection resource name is not defined.","型号集合资源名称未定义。"
"The product %s has been added to comparison list.",""
"The product %s has been removed from comparison list.","产品 %s 已从比较列表中删除。"
"The product attribute has been deleted.","产品属性已被删除。"
"The product attribute has been saved.","产品属性已保存。"
"The product has been created.","产品已创建。"
"The product has been deleted.","产品已被删除。"
"The product has been duplicated.","产品已复制。"
"The product has been saved.","产品已保存。"
"The product has required options","产品包含必需的选项"
"The review has been deleted","评论已被删除"
"The review has been saved.","评论已保存。"
"The review was removed by another user or does not exist.","评论已被另一用户删除，或评论不存在。"
"The search was deleted.",""
"The text is too long","文本过长"
"There are no %s available.","没有可用的 %s。"
"There are no customers for this alert","没有客户适用于此提醒"
"There are no customers for this alert.","没有客户适用于此提醒。"
"There are no products matching the selection.","没有产品匹配该选择。"
"There was an error while request processing.","处理请求时遇到了错误。"
"This Attribute no longer exists","该属性已不存在"
"This attribute cannot be deleted.","该属性无法被删除。"
"This attribute cannot be edited.","该属性无法编辑。"
