Remove,Enlever
Cancel,Annuler
"Manage Shopping Cart","Gérer le caddy"
"Create Order","Create Order"
Back,Back
"Add Products","Ajouter des produits"
"Update Items and Qty's","Mettre à jour les articles et la Qte's"
"Are you sure you want to clear your shopping cart?","Are you sure you want to clear your shopping cart?"
"Clear the shopping cart.","Clear the shopping cart."
"Add Selected Product(s) to Shopping Cart","Ajouter les produits sélectionnés au caddy"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart."
Product,"Nom du produit"
Price,Prix
Quantity,"Qté à ajouter"
"Products in the Comparison List (%1)","Products in the Comparison List (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
Products,Produits
ID,Identification
SKU,UGS
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Ajouter au panier dans l'UGS."
"Add to Shopping Cart","Ajouter au panier."
"Wish List (%1)","Wish List (%1)"
Apply,Appliquer
Configure,Configurer
"Add to Order by SKU","Ajouter aux commandes dans l'UGS."
"Add to Order","Ajouter à la commande"
"Add Products to Order","Ajouter des produits à commander"
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention."
"Remove All","Tout supprimer"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1."
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1."
"Specify the product's options","Préciser les options du produit\"
Store not found."""
"Receive notice when item is restocked.","Receive notice when item is restocked."
"Customer not found","Client non trouvé"
"Shopping cart management disabled for this customer.","Gestion du caddy désactivée pour ce client."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We could not find this store.","We could not find this store."
Customers,Clients
"Shopping Cart",Caddy
"An error has occurred. See error log for details.","Une erreur s'est produite. Consultez le journal de bord pour les détails."
"You do not have access to this.","You do not have access to this."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"Ordered item id is not received.","L'identifiant de l'article commandé n'a pas été reçu."
"Ordered item is not loaded.","L'article commandé n'a pas été chargé."
"Quote item id is not received.","L'identifiant de l'article évalué n'a pas été reçu."
"Quote item is not loaded.","L'article évalué n'a pas été chargé."
"You removed the item.","You removed the item."
"You removed the items.","You removed the items."
"You cannot configure a product.","You cannot configure a product."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Commander dans l'UGS"
"SKU not found in catalog.","L'UGS n'a pas été trouvée dans le catalogue."
"Availability: Out of stock.","Disponibilité: rupture de stock."
"The requested quantity is not available.","The requested quantity is not available."
"The product cannot be added to cart in requested quantity.","Le produit ne peut pas être ajouté au panier dans la quantité du produit demandée."
"Please specify the product's options.","Veuillez préciser les options du produit\."
"The product cannot be added to cart.","Le produit ne peut pas être ajouté au panier."
"Please enter a valid number in the ""Qty"" field.","Veuilez taper un nombre valide dans l'espace réservé à ""Qte""."
"The product is assigned to another website.","The product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
"You have not entered a product SKU.","You have not entered a product SKU."
"Failed to add a product to cart by id ""%1"".","Failed to add a product to cart by id ""%1""."
"Something went wrong reordering this product.","Something went wrong reordering this product."
"We couldn't find this wish list.","We couldn't find this wish list."
"You added %1 product to your shopping cart.","You added %1 product to your shopping cart."
"You added %1 products to your shopping cart.","You added %1 products to your shopping cart."
"%1 product requires your attention.","%1 product requires your attention."
"%1 products require your attention.","%1 products require your attention."
"Yes, for Specified Customer Groups","Oui, pour des groupes de clients spécifiques."
"Yes, for Everyone","Oui, pour tout le monde"
No,Non
"The file is corrupt.","The file is corrupt."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"%1 item(s) need your attention.","%1 item(s) need your attention."
"Apply Coupon Code","Appliquer le code du coupon"
"Remove Coupon Code","Enlever le code du coupon"
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Shopping Cart Items","Articles du caddy"
Qty,Qté
Subtotal,Sous-total
Discount,Remise
"Row Subtotal","Rangée sous-total"
Action,Action
"No ordered items","Pas d'articles commandés"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Sous-total:
"Excl. Tax","TVA exclue"
Total,Total
"Incl. Tax","TVA incluse"
"Total incl. tax","Total, TVA incluse"
"Move to Wishlist","Passer à la liste de vœux"
"No item specified.","No item specified."
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
SKU's,SKU's
File,Fichier
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
Reset,Réinitialiser
"SKU: ",UGS:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Only <span id=""%1_max_allowed"">%2</span> in stock"
"Edit item parameters","Edit item parameters"
Edit,Edit
"Remove item","Remove item"
"Products Requiring Attention","Products Requiring Attention"
Item,Item
"Unit Price","Unit Price"
"Add to Cart","Add to Cart"
Sku,Sku
"File extensions allowed: .csv","File extensions allowed: .csv"
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","File must contain two columns, with ""sku"" and ""qty"" in the header row."
"Add Row","Add Row"
"Remove Row","Remove Row"
"Apply Coupon","Appliquer un Coupon"
"Add Products By SKU","Ajoutez des produits dans l'UGS."
"Shopping Cart Management","Gestion du caddy"
"Order by SKU Description","Commander par le descriptif de l'UGS"
"Display a Link to Loading a Spreadsheet","Montrer un lien pour télécharger un fichier Excel"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","Créer un lien vers le texte"
"The text of the link to the My Account &gt; Order by SKU page","The text of the link to the My Account &gt; Order by SKU page"
"Load a list of SKUs","Télécharger une liste d'UGS."
"Order by SKU Template","Commander selon le modèle de l'UGS"
