"# of Use","# de Uso"
"%1$s incl tax.","%1$s de imposto incluído"
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s ou mais"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","- Por Favor Selecione -"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por defeito, se não definido. Para atualizar instantaneamente, Limpar a Cache de Saída de Blocos HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Aviso!</strong> Aplicar MAP por defeito vai esconder todos os preços de produto no frontend."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é necessário"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ação"
"Actual Price","Preço Real"
"Add","Adicionar"
"Add Attribute","Adicione Atributo"
"Add Design Change","Adicionar Mudança de Design"
"Add Group","Adicionar Grupo"
"Add Group Price","Adicionar preço de grupo"
"Add New","Adicione Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicione Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Busca"
"Add New Set","Adicionar Novo Conjunto"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto a Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Camada"
"Add attribute into attribute set","Adicionar atributo ao conjunto de atributos"
"Add group into attribute set","Adicionar grupo ao conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada ao produto"
"Add new values into custom option","Adicionar novos valores à opção personalizada"
"Add option","Adicionar opção"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Information","Informações Adicionais"
"Alert Urls","Urls de Alerta"
"All","Todos"
"All Product Types","Todos Tipos de Produtos"
"All Websites","Todos os sites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos produtos deste conjunto serão excluídos! Tem certeza que quer excluir este conjunto de atributos?"
"Allow All Products per Page","Permitir Todos Produtos por Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de Mídia Dinâmica em Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allowed File Extensions","Extensões de Arquivo Permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"Amount","Valor"
"An error occurred while adding products to websites.","Ocorreu um erro durante a adição de produtos aos websites."
"An error occurred while clearing comparison list.","Ocorreu um erro durante a limpeza da lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir essa resenha."
"An error occurred while removing products from websites.","Ocorreu um erro durante a retirada de produtos dos sites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar o URL reescrito"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção. Abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto."
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a consulta de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar a resenha."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar eliminar a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro durante a atualização do(s) atributo(s) do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro durante a atualização do status do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Um ID inválido de grupo é especificado, ignorando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido é especificado para %s (%s), ignorando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
