"%s's Wishlist","%s' al listei de dorinte"
"* Required Fields","* Cimpuri cerute"
"Add All to Cart","Adaugati toate in carut"
"Add to Cart","Adauga-ti la carut"
"Add to Wishlist","Adaugati la lista de dorinte"
"Added On","Adaugata la"
"Are you sure you want to remove this product from your wishlist?","Sinteti sigur ca vreti sa sterge-ti acest produs din lista de dorinte?"
"Are You sure?","Sinteti sigur?"
"Cannot create wishlist","Nu pot creea lista de dorinte"
"Cannot specify product","Nu pot specifica produsul"
Comment,Comentarii
"E-mail Addresses required","Adresele de e-mail sint cerute"
"Email addresses, separated by commas","Adrese de email, separate prin virgule"
"Go to Wishlist","Duceti-va la lista de dorinte"
"Last Added Items","Ultimele obiecte adaugate"
Message,Mesaj
"My Wishlist","Lista mea de dorinte"
"My Wishlist (%d item)","Lista mea de dorinte (%d obiecte)"
"My Wishlist (%d items)","Lista mea de dorinte (%d obiecte)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Lista mea de dorinte <span class=""count"">- <a href=""%s"">%d Item(s)</a></span>"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Va rugam intra-ti adresele de e-mail valide, separate prin virgule. De exemplu: johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Va rugam, intra-ti comentariile..."
Product,Produs
"Remove Item","Sterge obiectul"
"Share Wishlist","Imparti-ti lista de dorinte"
"Share Your Wishlist","Imparti-ti lista de dorinte"
"Update Wishlist","Actualiza-ti lista de dorinte"
"View Product","Vedeti produsul"
"Wishlist Sharing","Impartirea listei de dorinte"
"You have no items in your wishlist.","Nu aveti obiecte in lista de dorinte."
"You have placed no product yet.","Nu a-ti pus inca nici un produs."
"Your Wishlist was successfully shared","Lista ta de dorinte a fost impartita cu succes"
