"SKU","Kod producenta"
"Category","Kategoria"
"Please select static block ...","Wybierz blok statyczny ..."
"Static block and products","Bloki statyczne i produkty"
"Go to Home Page","Wróć na stronę główną"
"Images","Zdjęcia"
"Small Image","Małe zdjęcie"
"Products only","Tylko produkty"
"Meta Keywords","Słowa kluczowe"
"Data integrity: No header row found for attribute","Integralność danych: Brak nagłówka dla cechy"
"Page Title","Tytuł strony"
"Status","Status"
"Description","Opis"
"Cannot retrieve current category object","Cannot retrieve current category object"
"Tier Price","Próg cenowy"
"Price","Cena"
"Meta Title","Tytuł strony META"
"Static block only","Tylko blok statyczny"
"Visibility","Widoczność"
"Thumbnail","Miniaturka"
"Filter model name must be declared","Nazwa typu filtra musi zostać ustalona"
"Filter must be as object. Set correct filter please","Filtr musi być obiektem. Wybierz prawidłowy filtr"
"Base Image","Zdjęcie podstawowe"
"Prices","Ceny"
"Grid","Siatka"
"Is Qty Decimal","Ilość jest wartością liczbową"
"Manufacturer","Producent"
"Page Layout","Wygląd strony"
"Best Value","Najlepsza wartość"
"Name","Nazwa"
"Invalid Attribute Requested","Wybrano nieprawidłową cechę"
"Meta Description","Opis strony META"
"Short Description","Krótki opis"
"Is Anchor","Jest linkiem wewnętrznym"
"List","Lista"
"Filters must be as array","Filtry muszą być tablicami"
"Meta Information","Informacja META"
"No layout updates","Brak aktualizacji wyglądu strony"
"General","Ogólne"
"Compare Products List","Lista produktów porównywanych"
"Invalid block: %s","Nieprawidłowy blok: %s"
"CMS Block","Blok systemu informacyjnego"
"Attribute source ""%s"" not found","Źródło cechy ""%s"" nie zostało znalezione"
"All","Wszystko"
"Qty","Ilość"
"Attribute model not defined","Model cechy nie został zdefiniowany"
"Weight","Waga"
"Color","Kolor"
"URL key","klucz adresu URL"
"Image","Zdjęcie"
"Choose option...","Wybierz opcję..."
"Is Active","Jest aktywny"
"Cost","Koszt"
"Image Gallery","Galeria zdjęć"
"Display Mode","Tryb wyświetlania"
"Attribute saver ""%s"" not found","Attribute saver ""%s"" not found"
"Home","Strona główna"
"Tax Class","Klasa podatku"
"Minimal Price","Cena minimalna"
"Special Price:","Cena promocyjna:"
"Add to Compare","Dodaj do porównania"
"Clear All Items","Usuń wszystkie produkty"
"Availability: In stock. Ships within 24hours.","Dostępność: W magazynie. Dostawa w ciągu 24 godzin."
"Next","Następny"
"Quick Overview","Szybki podgląd"
"Add to My Wishlist","Dodaj do mojej listy życzeń"
"Add Items to Cart","Dodaj produkty do koszyka"
"Related Products","Produkty powiązane"
"See all %s","Zobacz wszystkie %s"
"Best Selling Products","Bestsellery"
"Product Attribute Specs","Specyfikacje cech produktów"
"Prev","Poprzedni"
"Choose an Option...","Wybierz opcję..."
"View as","Zobacz jako"
"This bundle is out of stock.","Tego zestawu nie ma aktualnie w magazynie."
"Shopping Options","Opcje zakupów"
"Compare Products","Porównaj produkty"
"Product Description","Opis produktu"
"Remove This Item","Usuń produkt"
"Shop by","Szukaj produktów wg."
"More Views","Więcej widoków"
"There are no products matching the selection.","Brak produktów spełniających kryteria."
"Remove Product","Usuń produkt"
"Product Name","Nazwa produktu"
"Availability: Out of stock.","Dostępność: Brak."
"Page:","Strona:"
"You have no items to compare.","Nie ma produktów do porównania."
"Buy %s for %s each","Kup %s i zapłać <strong>%s za każdy</strong>"
"Compare Items","Porównaj produkty"
"Zoom In","Powiększ"
"Add to Cart","Do koszyka"
"No options of this product are available.","Brak opcji dla tego produktu."
"Zoom Out","Zmniejsz"
"Items %s to %s of %s total","Wyświetlono produkty od <strong>%s</strong> do <strong>%s</strong> z <strong>%s</strong> "
"Regular Price:","Cena podstawowa:"
"Print This Page","Drukuj stronę"
"Old Price:","Poprzednia cena:"
"Compare Products - %d Items","<span class=""count"">- %d produktów</span> w porównaniu"
"Sort by","Sortuj"
"Availability: In stock. Ships within 24 hours.","Dostępność: W magazynie. Dostawa w ciągu 24 godzin."
"Add to Wishlist","Dodaj do listy życzeń"
"View Details","Zobacz szczegóły"
"Browse By","Przeglądaj wg."
"Out of Stock","Brak w magazynie"
"Check items to add to the cart or select all.","Zaznacz produkty które chcesz dodać do koszyka lub <a href=""#"" onclick=""selectAllRelated();return false;"">select all</a>."
"Show","Pokaż"
"per page","na stronę"
"Close Window","Zamknij okno"
"Set Ascending Direction"," Sortuj rosnąco"
"Cross-sell Products","Produkty powiązane"
"Learn More","Zobacz więcej"
"Category Navigation:","Nawigacja w kategorii:"
"Set Descending Direction","Sortuj malejąco"
"You may also be interested in the following product(s)","Być może jesteś zainteresowany poniższymi produktami"
"Additional Information","Informacje dodatkowe"
"Previous","Poprzedni"
"Currently Shopping by","Aktualnie przeglądasz wg."
"OR","LUB"
"%s Item(s)","%s produkt(ów)"
