"September,""Wrzesień"""
"February,""Luty"""
"October,""Październik"""
"March,""Marzec"""
"August,""Sierpień"""
"May,""Maj"""
"January,""Styczeń"""
"Master Card,""Master Card"""
"Year,""Rok"""
"June,""Czerwiec"""
"Discover,""Discover"""
"Month,""Miesiąc"""
"April,""Kwiecień"""
"American Express,""American Express"""
"Visa,""Visa"""
"Please select credit card type,""Wybierz rodzaj karty"""
"December,""Grudzień"""
"July,""Lipiec"""
"November,""Listopad"""
"Credit Card Type,""Rodzaj karty kredytowej"""
"What is this?,""Co to jest?"""
"Card Type,""Typ karty"""
"Card Verification Number,""Kod CVV2"""
"Credit Card Number,""Numer karty kredytowej"""
"Purchase Order Number,""Numer zamówienia"""
"Name on Card,""Nazwa na karcie"""
"Expiration Date,""Data ważności karty"""
