Sales,Sprzedaż
Orders,Zamówienia
Invoices,Faktury
Tax,Podatek
Manage Tax Rules,Zarządzaj regułami podatków
Manage Tax Rates,Zarządzaj stawkami podatków
Import / Export Tax Rates,Importuj / Eksportuj stawki podatków
Customer Tax Classes,Klasy podatku dla klienta
Product Tax Classes,Klasy podatku dla produktów
Configuration,Konfiguracja
Catalog,Sklep
Manage Products,Zarządzaj produktami
Manage Categories,Zarządzaj kategoriami
Attributes,Cechy
Manage Attributes,Zarządzaj cechami
Manage Attribute Sets,Zarządzaj zestawami cech
"Reviews &amp Ratings,Recenzje &amp oceny" Ratings,Reviews &amp Ratings
Customer Reviews,Recenzje klientów
Pending Reviews,Recenzje oczekujące
All Reviews,Wszystkie recenzje
Manage Ratings,Zarządzaj ocenami
Tags,Tagi
Pending Tags,Tagi oczekujące
All Tags,Wszystkie tagi
Customers' Tags,Tagi klientów
Products' Tags,Tagi produktów
Search,Szukaj
Datafeeds,Export danych
Dashboard,Dashboard
Customers,Klienci
Manage Customers,Zarządzaj klientami
Customer Groups,Grupy klientów
Online Customers,Klienci online
Promotions,Promocje
Catalog Price Rules,Reguły sklepu
Shopping Cart Price Rules,Reguły koszyka
CMS,Zarządzanie treścią
Manage Pages,Zardządzaj stronami
Static Blocks,Bloki statyczne
Poll Manager,Ankiety
Newsletter,Newsletter
Newsletter Templates,Szablony newslettera
Subscribers,Subskrybenci
Newsletter Queue,Kolejka newslettera
Newsletter Problem Reports,Problemy w wysyłce newslettera
Reports,Raporty
Sales Report,Raport sprzedaży
Shopping Cart Report,Raport koszyków
Products,Produkty
Products Report,Raport produktów
Coupons Reports,Raport kuponów
Wishlist Report,Raport listy życzeń
Reviews Report,Raport recenzji
Customers Reviews,Recenzje klientów
Products Reviews,Recenzje produtków
Tags Report,Rapor tagów
Products (Total),Produkty (w sumie)
Popular,Popularne
Search Report,Raport wyszukiwania
Best Customers,Najlepsi klienci
Recent Orders,Ostatnie zamówienia
Order Totals,Sumy zamówień
System,System
My Account,Moje konto
Tools,Narzędzia
Backups,Kopie zapasowe
Manage Currency,Waluty
Transactional Emails,Emaile transakcyjne
Permissions,Uprawnienia
Users,Użytkownicy
Roles,Grupy użytkowników
Invoice Information,Informacje o fakturze
Store Name,Nazwa sklepu
Create Backup,Zrób backup
Title,Tytuł
Add New User,Dodaj użytkownika
Unknown,Nieznany
View Order,Zobacz zamówienie
Number of Unique Tags,Liczba unikalnych tagów
State/Province,Województwo
No Newsletter Found,Brak newslettera
Session Start Time,Czas sesji
Edit Queue,Edycja kolejki
Edit Review '%s',Ediycja recenzji '%s'
Comparable,Porównywalny
Number of Reviews,Ilość recenzji
Block Title,Nazwa bloku
Add New,Dodaj nowy
Add New Image,Dodaj nowe zdjęcie
Unable to find a user to delete,Nie znaleziono użytkownika do usunięcia
Related Products,Produkty podobne
Items in Cart,Produktów w koszyku
This user no longer exists,Taki użytkownik nie istnieje
Shipping Method,Metoda dostawy
Signed Up From,Zapisany z
Cancel Order,Usuń zamówienie
Can be used only with catalog input type Dropdown,Można używać tylko z rozwijaną listą po stronie sklepu
Error while deleting this rate. Please try again later.,Błąd w trakcie kasowania stawki. Ponów próbę.
Save Account,Zapisz zmiany w koncie
Shopcart Products,Shopcart Products
Addresses,Adresy
Number Purchased,Ilość kupionych produktów
Rule Name,Nazwa reguły
You cannot delete this attribute,Nie możesz skasować tej cechy
List only,Tylko lista
Last Modified,Ostatnia modyfikacja
Reset Filter,Resetuj filtr
Please make sure that all global admin search modules are installed and activated.,Please make sure that all global admin search modules are installed and activated.
Global,Globalny
New Address,Nowy adres
Delete Category,Usuń kategorię
Tag,Tag
Are you sure you want to delete this attribute set?,Are you sure you want to delete this attribute set?
Physical Products,Produkty trwałe
Created at,Utworzono dnia
User Roles Information,Informacja o grupach użytkowników
Currency Information,Informacje o walutach
Carts,Carts
Attribute Label,Nazwa cechy
Credit Memo Information,Informacje o dokumencie kredytowym
Error Code,Kod błędu
Product attribute was successfully saved,Product attribute was successfully saved
Tag Detail,Szczegóły taga
State,Województwo
Website was successfully saved,Website was successfully saved
Delete Address,Usuń adres
"""Error while deleting this tax class. Please, try again later."",""Nie powiodło się kasowanie klasy podatku. Ponów próbę."""
Unique Value (not shared with other products),Unikalna wartość (nie jest współdzielona z innymi produktami)
The invoice you are trying to create credit memo for no longer exists,The invoice you are trying to create credit memo for no longer exists
Edit Tag '%s',Edit Tag '%s'
Rating Options,Ustawienia ocen
Add Attribute,Dodaj cechę
Error while saving this group. Please try again later.,Nie udało się zapisać grupy. Ponów próbę.
Summary of review,Podsumowanie recenzji
Cancel,Anuluj
HTML,HTML
New Invoice for Order #%s,Nowa faktura dla zamówienia nr.%s
Add Tier,Dodaj poziom
Role Resources,Dostępne zasoby dla grupy
Edit Tax Rule,Edycja reguły podatku
Qty Backordered,Ilość brakująca do realizacji zamówienia
Subscribed to Newsletter?,Czy zapisany na newsletter?
Categories,Kategorie
Up-sells,Produkty alternatywne
Add New Attribute,Dodaj nową cechę
Tax Amount,Wartość podatku
Stop further rules processing,Zaniechaj przetwarzania kolejnych reguł
Parent Category,Kategoria nadrzędna
New Block,Nowy blok
This account is,To konto jest
Unable to get product id.,Nie udało się ustalić id produktu
Add Selected Product to Order,Dodaj zaznaczone produkty do zamówienia
Language,Język
Products Report (Total),Raport produktów (Sumaryczny)
Default config,Domyślna konfiguracja
Page Status,Status strony
Order #,Zamówienie nr.
Save Block,Zapisz blok
View Products,Zobacz produkty
Last Name,Nazwisko
Backend Table,Backend Table
Back,Powrót
Customer with the same email already exists.,Klient o tym samym adresie email już istnieje
ZIP/Postal Code,Kod pocztowy
Visitors Only,Tylko odwiedzający
New Group,Nowa grupa
Date Added,Data dodania
Home,Strona główna
Attrib. Set Name,Nazwa zestawu cech
Zip/Post Code,Kod pocztowy
No Templates Found,Nie znaleziono szablonów
Role Info,Informacje o grupie uprawnień
Edit Poll '%s',Edycja ankiety '%s'
New Customer,Nowy klient
Group,Grupa
Poll Question,Pytanie do ankiety
"""Error while saving account. Please, try again later"",""Błąd podczas zapisywania zmian w koncie. Ponów próbę."""
Add New Poll,Dodaj nową ankietę
"""Duplicate Row #%s (Country """"%s"""", Region/State """"%s"""", Zip """"%s"""" and Value """"%s"""")"",""Zduplikowany wiersz nr.%s (Kraj """"%s"""", Województwo """"%s"""", Kod pocztowy """"%s"""" i wartość """"%s"""")"""
Header Text,Tekst nagłówka
Invalid file upload attempt,Próba wgrania pliku zakończona niepowodzeniem.
The order you are trying to create invoice for no longer exists,Zamówienie dla którego chcesz utworzyć fakturę nie istnieje
Shipped to Last Name,Nazwisko (Dostawa)
Votes Count,Ilość głosów
Edit User,Edycja użytkownika
Add New Tax Rate,Dodaj nową stawkę podatku
Status,Status
Edit Poll Answer,Edytuj pytanie do ankiety
This user already added to the role.,Ten użytkownik został dodany do grupy.

Save Attribute,Zapisz cechę
User ID,ID użytkownika
Do you really want to cancel the queue?,Czy na pewno chcesz anulować kolejkę?
Save Rate,Zapisz stawkę
Queue Start,Start kolejki
Cross-sells,Sprzedaże krzyżowe
Delete Rating,Usuń ocenę
Import Rates From www.webservicex.net,Importuj stawki ze strony www.webservicex.net
Rule was successfully saved,Reguła została zapisana
Required,Wymagane
N/A,n/d
Continue,Dalej
Grid only,Tylko lista
View Invoice,Podgląd faktury
Use default,Użyj domyślnych ustawień
Category move error,Błąd podczas przenoszenia kategorii
Time,Czas
Set Root Category For Store,Ustaw kategorię podstawową dla sklepu
Backend Table Title,Nazwa tabeli administratora
Product Information,Informacje o produkcie
New Website,Nowa strona
Tax Rate,Stawka podatku
Text,Tekst
Input Validation for Store Owner,Sprawdzanie poprawności danych dla właściciela sklepu
Revenue,Zysk
No records found.,Brak wyników.
Save Website,Zapisz witrynę
Last Activity,Ostatnio aktywny
Included Product Categories,Zawarte kategorie produktów
Error while saving this tax class. Class with the same name already exists.,Nastąpił błąd w trakcie zapisywania tej klasy podatku. W systemie jest już klasa o tej samej nazwie.
Name In Store,Nazwa w sklepie
"""Error while deleting this tax rule. Please, try again later."",""Błąd podczas kasowania reguły podatku. Spróbuj ponownie."""
User was successfully deleted,Użytkownik został usunięty
New Currency,Nowa waluta
Add New Review,Dodaj nową recenzję
Store Code,Kod sklepu
View Customers,Zobacz klientów
Number of Total Tags,Łączna ilość tagów
Role successfully saved.,Grupa została zapisana.
Delete Block,Usuń blok
Subscriber,Subskrybent
Customer Since,Klient od
Password Management,Zarządzanie hasłami
Global Attribute,Cecha globalna
Delete Attribute Set,Usuń zestaw cech
Rating Name,Nazwa oceny
Paused,Zatrzymany
Product ID,ID produktu
Add Product,Dodaj produkt
Poll was successfully deleted,Ankieta została usunięta
Uses per coupon,Ilość użyć dla kuponu
Format,Format
Configuration successfully saved,Zapisano konfigurację
