Back,Volver
ID,Identificación
Customers,Clientes
"First Name",Nombre
"Last Name",Apellido
Email,"Correo electrónico"
General,General
Name,Nombre
Status,Estado
"Store View","Ver Tienda"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
Website,"Sitio web"
N/A,N/A
"* Required Fields","* Campos Requeridos"
"Customer Group","Grupo de Clientes"
"Send From","Enviar Desde"
Sent,Enviada
"Not Sent","No enviado"
"Bad request.","Bad request."
Admin,Administrar
Reports,Informes
Message,Mensaje
Invitations,Invitaciones
"Add Invitations","Añadir Invitaciones"
"New Invitations","Nuevas invitaciones"
"Invitations Information","Información de las invitaciones"
"Enter Each Email on New Line","Indicar Cada Email en una Nueva Línea"
"Invitee Group","Grupo de invitados"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Discard Invitation","Invitación descartada"
"Are you sure you want to discard this invitation?","¿Estás seguro de querer descartar esta invitación?"
"Save Invitation","Guardar invitación"
"Send Invitation","Enviar invitación"
"Default from System Configuration","Por defecto de Configuración del Sistema"
"Status History",Historial
"Order Conversion Rate","Tipo de cambio del pedido"
"We couldn't find this invitation.","We couldn't find this invitation."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong sending %1 of %2 invitations.","Something went wrong sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"The invitation has been saved.","La invitación ha sido guardada."
"Please select invitations.","Por favor, seleccionar invitaciones."
"No invitations have been resent.","No invitations have been resent."
"We sent %1 of %2 invitations.","We sent %1 of %2 invitations."
"Something went wrong sending %1 invitations.","Something went wrong sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Invitations Report","Invitations Report"
"General Report","Informe General"
"Invited Customers Report","Invited Customers Report"
"Invitation Report by Customers","Informe de Invitaciones de Clientes"
"Conversion Rate Report","Conversion Rate Report"
"Invitation Report by Order Conversion Rate","Informe de Invitaciones por Ratio de Conversión de Pedido."
"Your invitation is not valid. Please create an account.","Su invitación no es válida. Por favor cree una cuenta."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"Unable to save the customer.","Unable to save the customer."
"Wrong confirmation key.","Wrong confirmation key."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong sending an email to %1.","Something went wrong sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Enviar invitaciones"
"My Invitations","Mis invitaciones"
"Max Invitations Allowed to be Sent at One Time","Número máximo de invitaciones que se pueden enviar a la vez"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","El mismo que el invitador"
"Default Customer Group from System Configuration","Grupo de Cliente por Defecto de la Configuración del Sistema"
"By Invitation Only","Solo mediante Invitación"
"Available to All","Disponible para Todos"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We couldn't find an ID for this invitation.","We couldn't find an ID for this invitation."
"We cannot send an invitation with status ""%1"".","We cannot send an invitation with status ""%1""."
"Please correct the invalid or empty invitation email.","Please correct the invalid or empty invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Esta invitación no es válida."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitación para la misma dirección de correo electrónico"
Accepted,Aceptada
Discarded,Descartada
"Invitation Information","Información de Invitación."
"Send At","Enviar a"
"Invitation Message","Mensaje de Invitación."
"Signed Up At","Inscrito en"
"Invitation URL","Invitation URL"
Link,Enlace
"Invitee Information","Información de invitado"
"Customer ID","ID de Cliente"
"Sign Up At","Inscribirse en"
"Inviter Information","Información del invitador"
"Invite your friends by entering their email addresses.","Invite your friends by entering their email addresses."
"Back to Invitations","Volver a Invitaciones"
"You cannot send more invitations","No puede enviar más invitaciones"
"There are no sent invitations.","There are no sent invitations."
Group,Grupo
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Frontend","Enable Invitations on Frontend"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Invitaciones de Cliente"
"Discard Selected","Descarte Seleccionado"
"Send Selected","Enviar seleccionado"
Invitee,Invitado
Registered,Registrado
"Valid Website","Válido en el sitio web"
"Invitations Sent","Invitaciones enviadas"
"Invitations Accepted","Invitaciones aceptadas"
"Accept Rate","Ratio de Aceptación"
"Discard Rate","Ratio de Descartes"
"Accepted and Purchased","Aceptada y Comprada"
"Conversion Rate","Ratio de Conversión"
