Remove,Supprimer
Back,Back
ID,Identifiant
Customers,Clients
Store,Boutique
Website,"Site internet"
"All Websites","Tous les sites internet"
Dynamic,Dynamique
Static,Statique
"Customer Group","Groupe Clients"
"All Customer Groups","Tous les Groupes Clients"
Created,Created
Comment,Commentaires
Date,Date
Balance,Solde
"Balance History","Historique du solde"
"Reward Points","Points de fidélité"
Unlimited,Unlimited
Amount,Montant
Expires,"Expire "
"You have been unsubscribed.","Vous êtes désabonné."
Rate,Taux
"Reward Points History","Historique des Points de Fidélité"
"Expired reward","Expired reward"
"No Data","No Data"
"Currency Amount","Montant devises"
"Reward Points Threshold","Solde minimum de points fidélité requis pour pouvoir échanger"
"Reward Points Cap","Plafonner points de fidélité "
"Delete Orphan Points","Supprimer les Points isolés"
"Update Reward Points Balance","Mettre à jour le solde des points de fidélité"
"Update Points","Mettre à jour les points"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Reward Points Notifications","Notifications Points de Fidélité"
"Subscribe for balance updates","Souscrire aux mises à jour du solde"
"Subscribe for points expiration notifications","Souscrire aux notifications d'expiration des points"
"Reward Exchange Rates","Taux de conversion en points de fidélité"
"Add New Rate","Ajouter Nouvelle Note"
"Edit Reward Exchange Rate","Editer taux de conversion en points de fidélité"
"New Reward Exchange Rate","Nouveau taux de conversion en points de fidélité"
"Reward Exchange Rate Information","Information taux de conversion en points de fidélité"
Direction,Direction
"Use my reward points; %1 are available.","Use my reward points; %1 are available."
"Learn more...","En savoir plus…"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Manage Reward Exchange Rates","Gérer taux de conversion en points de fidélité"
"You saved the rate.","You saved the rate."
"We cannot save Rate.","We cannot save Rate."
"You deleted the rate.","You deleted the rate."
"Please enter all Rate information.","Indiquez les informations des taux"
"Please enter a positive integer number in the left rate field.","Entrez un nombre entier positif dans le champ gauche du taux."
"Please enter a positive number in the right rate field.","Entrez un nombre positif dans le champ droit du taux."
"Please enter a positive integer number in the right rate field.","Entrez un nombre entier positif dans le champ droit du taux."
"Please enter a positive number in the left rate field.","Entrez un nombre positif dans le champ gauche du taux."
"Sorry, but a rate with the same website, customer group and direction or covering rate already exists.","Sorry, but a rate with the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Les points de fidélité ne seront pas utilisés pour cette commande."
"You saved the settings.","You saved the settings."
"Failed to unsubscribe","Failed to unsubscribe"
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Updated by moderator"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","For submitting a product review"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"The customer earned %1 for this order.","The customer earned %1 for this order."
"%1 was deducted because of refund.","%1 was deducted because of refund."
"Add Reward Points","Ajouter Points de Fidélité"
"Customer earned promotion extra %1.","Customer earned promotion extra %1."
"The action ID you enter must be a numerical integer.","The action ID you enter must be a numerical integer."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Points en devise"
"Currency to Points","Devises en Points"
Each,Chaque
First,Premier
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Le solde minimum de points de récompense"" doit être inférieur ou égal au ""solde plafond de points de récompense""."
"Reward Points Balance","Solde Points de Fidélité"
"Refund Reward Points","Rembourser les points de fidélité"
"Reward Points refunded to customer","Points de Fidélité remboursés au client"
Points,Points
Reason,Motif
"Expires on %1","Expires on %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Information solde des points de fidélité"
