Remove,Remover
Back,Back
ID,Identidade
Customers,Clientes
Store,Loja
Website,Website
"All Websites","Todos os sites"
Dynamic,Dinâmico
Static,Estático
"Customer Group","Grupo de Clientes"
"All Customer Groups","Todos os Grupos de Clientes"
Created,Created
Comment,Comentário
Date,Data
Balance,Saldo
"Balance History","Histórico do saldo"
"Reward Points","Pontos de Recompensa"
Unlimited,Unlimited
Amount,Valor
Expires,"Expira Em"
"You have been unsubscribed.","Sua inscrição foi cancelada."
Rate,Taxa
"Reward Points History","História dos Pontos de Recompensa"
"Expired reward","Expired reward"
"No Data","No Data"
"Currency Amount","Valor da Moeda"
"Reward Points Threshold","Balanço Minímo de Pontos de Recompensa para ser capaz de Resgatar"
"Reward Points Cap","Balanço de Pontos de Recompensa Cap Em"
"Delete Orphan Points","Apagar Pontos Órfãos"
"Update Reward Points Balance","Atualizar Balanço de Pontos de Recompensa"
"Update Points","Pontos Atualizados"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Reward Points Notifications","Notificação dos Pontos de Recompensa"
"Subscribe for balance updates","Inscrever-se para atualizações de balanço"
"Subscribe for points expiration notifications","Inscrever-se para as notificações de validade de pontos"
"Reward Exchange Rates","Taxas de Câmbio de Recompensa"
"Add New Rate","Adicionar Nova Taxa"
"Edit Reward Exchange Rate","Editar Taxa de Câmbio Recompensa"
"New Reward Exchange Rate","Nova Taxa de Câmbio de Recompensa"
"Reward Exchange Rate Information","Informação da Taxa de Câmbio de Recompensa"
Direction,Direção
"Use my reward points; %1 are available.","Use my reward points; %1 are available."
"Learn more...","Saiba mais..."
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Manage Reward Exchange Rates","Gerenciar Taxas de Câmbio Recompensa"
"You saved the rate.","You saved the rate."
"We cannot save Rate.","We cannot save Rate."
"You deleted the rate.","You deleted the rate."
"Please enter all Rate information.","Por favor insira todas as informações de Taxa."
"Please enter a positive integer number in the left rate field.","Por favor insira um número inteiro positivo no campo esquerdo da taxa."
"Please enter a positive number in the right rate field.","Por favor insira um número positivo no campo direito da taxa."
"Please enter a positive integer number in the right rate field.","Por favor insira um número inteiro positivo no campo direito da taxa."
"Please enter a positive number in the left rate field.","Por favor insira um número positivo no campo esquerdo da taxa."
"Sorry, but a rate with the same website, customer group and direction or covering rate already exists.","Sorry, but a rate with the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Pontos de recompensa não serão utilizados nesta ordem."
"You saved the settings.","You saved the settings."
"Failed to unsubscribe","Failed to unsubscribe"
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
