ID,Identidade
No,Não
"Use Default","Utilizar padrão"
Delete,Excluir
Yes,Sim
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
Banners,Banners
"Add Banner","Adicionar banner"
"Save Banner","Salvar o banner"
"Delete Banner","Excluir banner"
"New Banner","Novo banner"
Content,Conteúdo
"Default Content","Conteúdo padrão"
"No Default Content","Nenhum conteúdo padrão"
"Banner Default Content for All Store Views","Conteúdo padrão de banner para visualização de todas as lojas"
"Store View Specific Content","Conteúdo específico de visualização de loja"
"Related Promotions","Promoções relacionadas"
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties","Propriedades do banner"
"Banner Name","Nome do banner"
Active,Ativo
"Applies To","Aplica-se a"
"Any Banner Type","Qualquer tipo de banner"
"Specified Banner Types","Tipos de banner especificados"
"Specify Types","Especificar tipos"
"Banner Information","Informações do banner"
Banner,Banner
"Banner Types","Tipos de banner"
Visibility,Visibility
"Are you sure you want to delete these banners?","Tem certeza que deseja excluir esses banners?"
"Related Banners","Banners relacionados"
Position,Posição
"This banner no longer exists.","Este banner não está mais disponível."
"Edit Banner","Editar banner"
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.","O banner foi excluído."
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.","Especifique o conteúdo padrão para pelo menos uma visualização de loja."
"-- None --","-- Nenhum --"
"Related Shopping Cart Price Rules","Regras relacionadas de preço de carrinho de compras"
"Related Catalog Price Rules","Regras de preço de catálogo relacionadas"
"Manage Banners","Gerenciar banners"
"Banner Rotator","Rotador de banner"
"Displays Specified or Promotion Banners","Exibe banners promocionais ou especificados"
"Banners to Display","Banners para exibição"
"Specified Banners","Banners especificados"
"Shopping Cart Promotions Related","Promoções relacionadas ao carrinho de compras"
"Catalog Promotions Related","Promoções relacionadas ao catálogo"
"Restrict by Banner Types","Restrito por tipo de banner"
"Rotation Mode","Modo de rotação"
"Display all instead of rotating.","Display all instead of rotating."
"One at the time, Random","Um por vez, aleatório"
"One at the time, Series","Um por vez, série"
"One at the time, Shuffle","Um por vez, variando as posições"
"Specify Banners","Especificar banners"
"Banner Block Template","Modelo de bloco de banner"
"Banner Inline Template","Modelo de banner em linha"
