ID,Identification
No,Non
"Use Default","Utiliser défaut"
Delete,Effacer
Yes,Oui
Status,Status
"Save and Continue Edit","Sauvegarder et continuer à changer"
Banners,Bannières
"Add Banner","Ajouter bannière"
"Save Banner","Sauvegarder bannière"
"Delete Banner","Effacer bannière"
"New Banner","Nouvelle bannière"
Content,Contenu
"Default Content","Contenu par défaut"
"No Default Content","Pas de contenu par défaut"
"Banner Default Content for All Store Views","Contenu par défaut de bannière pour toutes les vues de boutique"
"Store View Specific Content","Vue d'un contenu spécifique de la boutique"
"Related Promotions","Promotions en rapport"
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties","Propriétés de bannière"
"Banner Name","Nom de bannière"
Active,Actif
"Applies To","S'applique "
"Any Banner Type","Tout type de bannière"
"Specified Banner Types","Types de bannière spécifiés"
"Specify Types","Types de spécification"
"Banner Information","Information de bannière"
Banner,Banner
"Banner Types","Types de bannière"
Visibility,Visibility
"Are you sure you want to delete these banners?","Êtes-vous sûr(e) de vouloir effacer ces bannières?"
"Related Banners","Bannières en rapport"
Position,Position
"This banner no longer exists.","Cette bannière n'existe plus."
"Edit Banner","Changer bannière"
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.","La bannière a été effacée."
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.","Veuillez spécifier un contenu par défaut au moins pour une vue de boutique."
"-- None --","-- Aucun --"
"Related Shopping Cart Price Rules","Règles en rapport de prix du caddy"
"Related Catalog Price Rules","Règles en rapport de prix catalogue"
"Manage Banners","Gérer bannières"
"Banner Rotator","Tourneur de bannière"
"Displays Specified or Promotion Banners","Affiche les bannières promotionnelles ou spécifiées"
"Banners to Display","Bannières à afficher"
"Specified Banners","Bannières spécifiées"
"Shopping Cart Promotions Related","En rapport aux promotions du caddy"
"Catalog Promotions Related","En relation aux promotions du catalogue"
"Restrict by Banner Types","Limiter par types de bannière"
"Rotation Mode","Mode rotatif"
"Display all instead of rotating.","Display all instead of rotating."
"One at the time, Random","Une à la fois, au hasard"
"One at the time, Series","Une à la fois, séries"
"One at the time, Shuffle","Une à la fois, mélange"
"Specify Banners","Spécifier bannières"
"Banner Block Template","Modèle de bloc bannière"
"Banner Inline Template","Modèle conforme de bannière"
