"%s (Default Template from Locale)","%s (Default Template from Locale)"
"Nine West Women\'s Lucero Pump","Nine West Women\'s Lucero Pump"
"No Templates Found","No Templates Found"
"Number","Number"
"Option","Option"
"Order","Order"
"Order Currency Code","Order Currency Code"
"PDF Print-outs","PDF Print-outs"
"PDF aggregator hasn't been found.","PDF aggregator hasn't been found."
"PDF renderer adapter hasn't been found.","PDF renderer adapter hasn't been found."
"Page Number","Page Number"
"Page Orientation","Page Orientation"
"Page Size","Page Size"
"Pages Quantity","Pages Quantity"
"Payment Information","Payment Information"
"Please make sure that popups are allowed.","Please make sure that popups are allowed."
"Please select entities to print.","Please select entities to print."
"Please select orders to print.","Please select orders to print."
"Position","Position"
"Positive Adjustment","Positive Adjustment"
"Positive Adjustment Amount","Positive Adjustment Amount"
"Prefix","Prefix"
"Preview HTML","Preview HTML"
"Preview PDF","Preview PDF"
"Price","Price"
"Price with Discount","Price with Discount"
"Price with Discount Excluding Tax","Price with Discount Excluding Tax"
"Price with Tax","Price with Tax"
"Price with taxes","Price with taxes"
"Printed Credit Memo","Printed Credit Memo"
"Printed Invoice","Printed Invoice"
"Printed Shipment","Printed Shipment"
"Printed Shipment Template","Printed Shipment Template"
"Printed Template","Printed Template"
"Printed Template Preview","Printed Template Preview"
"Printed Templates","Printed Templates"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Quantity","Quantity"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Recipient of Gift Message"
"Refunded Balance Amount","Refunded Balance Amount"
"Refunded Customer Balance","Refunded Customer Balance"
"Refunded Discount Amount","Refunded Discount Amount"
"Refunded Shipping Amount","Refunded Shipping Amount"
"Refunded Subtotal Amount Without Tax","Refunded Subtotal Amount Without Tax"
"Refunded Tax Amount","Refunded Tax Amount"
"Reset","Reset"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Select Template Type","Select Template Type"
"Sender of Gift Message","Sender of Gift Message"
"Shipment","Shipment"
"Shipping Address","Shipping Address"
"Shipping Amount Including Tax","Shipping Amount Including Tax"
"Shipping Amount Without Tax","Shipping Amount Without Tax"
"Shipping Discount Amount","Shipping Discount Amount"
"Shipping Excluding Tax","Shipping Excluding Tax"
"Shipping Including & Excluding Tax","Shipping Including & Excluding Tax"
"Shipping Including Tax","Shipping Including Tax"
"Shipping Method Description","Shipping Method Description"
"Shipping Tax Amount","Shipping Tax Amount"
"Shipping Tax Rate","Shipping Tax Rate"
"Shipping Total Amount","Shipping Total Amount"
"Shoe Size","Shoe Size"
"Sort Order","Sort Order"
"State/Region","State/Region"
"Status","Status"
"Store Currency Code","Store Currency Code"
"Store Name","Store Name"
"Street","Street"
"Street Multiline","Street Multiline"
"Subtotal","Subtotal"
"Subtotal Amount Including Tax","Subtotal Amount Including Tax"
"Subtotal Amount WIth Shipping Without Tax","Subtotal Amount WIth Shipping Without Tax"
"Subtotal Amount Without Tax","Subtotal Amount Without Tax"
"Subtotal Excluding Tax","Subtotal Excluding Tax"
"Subtotal Including & Excluding Tax","Subtotal Including & Excluding Tax"
"Subtotal Including Tax","Subtotal Including Tax"
"Subtotal by Tax","Subtotal by Tax"
"Subtotal with Discount","Subtotal with Discount"
"Subtotal with Discount Excluding Tax","Subtotal with Discount Excluding Tax"
"Subtotal with Discount and Tax","Subtotal with Discount and Tax"
"Suffix","Suffix"
"System","System"
"Table Header","Table Header"
"Table Row","Table Row"
"Tax Amount","Tax Amount"
"Tax Amount Without Discount","Tax Amount Without Discount"
"Tax Grid","Tax Grid"
"Tax Rate","Tax Rate"
"Tax Rate(s)","Tax Rate(s)"
"Tax Rates","Tax Rates"
"Tax Total","Tax Total"
"Tax/VAT Number","Tax/VAT Number"
"Telephone","Telephone"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Type","Template Type"
"Templates","Templates"
"Texas","Texas"
"Text of Gift Message","Text of Gift Message"
"The Printed template has been saved.","The Printed template has been saved."
"The printed template has been deleted.","The printed template has been deleted."
"The template can contain only one footer separator.","The template can contain only one footer separator."
"The template can contain only one header separator.","The template can contain only one header separator."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"This Printed template no longer exists.","This Printed template no longer exists."
"This widget is available only for printed templates.","This widget is available only for printed templates."
"Time of Last Update","Time of Last Update"
"Title","Title"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Adjustment","Total Adjustment"
"Total Amount Refunded Offline","Total Amount Refunded Offline"
"Total Amount Refunded Online","Total Amount Refunded Online"
"Total Canceled Amount","Total Canceled Amount"
"Total Discount (Including Store Credit and Gift Cards)","Total Discount (Including Store Credit and Gift Cards)"
"Total Discount Amount","Total Discount Amount"
"Total Due Amount","Total Due Amount"
"Total Gift Cards Amount","Total Gift Cards Amount"
"Total Gift Cards Invoiced Amount","Total Gift Cards Invoiced Amount"
"Total Gift Cards Refunded Amount","Total Gift Cards Refunded Amount"
"Total Invoiced Amount","Total Invoiced Amount"
"Total Item Count","Total Item Count"
"Total Items Quantity","Total Items Quantity"
"Total Paid","Total Paid"
"Total Refunded Amount","Total Refunded Amount"
"Total Refunded Balance Amount","Total Refunded Balance Amount"
"Tracking Numbers","Tracking Numbers"
"Transactional Emails","Transactional Emails"
"US","US"
"Unable to find a Printed Template to delete.","Unable to find a Printed Template to delete."
"Unknown","Unknown"
"Used Currently For","Used Currently For"
"Weight","Weight"
"Weight Of All Items","Weight Of All Items"
"Width, px","Width, px"
"Wrong column name specified.","Wrong column name specified."
"Wrong type of PDF aggregator.","Wrong type of PDF aggregator."
"Wrong type of PDF renderer adapter.","Wrong type of PDF renderer adapter."
"Your Coupon:","Your Coupon:"
"Zero Tax","Zero Tax"
"Zip Code","Zip Code"
"Print","Print"
"Add/Edit","Add/Edit"
"Active only when Printed Template module is disabled","Active only when Printed Template module is disabled"
"Load Default Template","Load Default Template"
"Auto Header Height","Auto Header Height"
"Auto Footer Height","Auto Footer Height"
"Load Sample Template","Load Sample Template"
"Sample Template","Sample Template"
"Template","Template"
"Measues","Measues"
"Millimeters","Millimeters"
"Percents","Percents"
"Page orientation","Page orientation"
"Landscape","Landscape"
"Portrait","Portrait"
"Active only when PDF Print-outs module is disabled.","Active only when PDF Print-outs module is disabled."
"Sample Template standard","Sample Template standard"
"Magento Standard","Magento Standard"
"UK Standard","UK Standard"
"French Standard","French Standard"
"German Standard","German Standard"
"Total Including Tax with Discount","Total Including Tax with Discount"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

