"Are you sure?","Sind Sie sicher?"
Cancel,Abbrechen
Quantity,"Anzahl Revisionen"
No,Nein
"All Store Views","Alle Store-Ansichten"
Delete,Löschen
Save,Speichern
Yes,Ja
Title,Titel
"URL Key","URL Key"
"Please wait...","Please wait..."
Previous,Vorherige
Next,Nächste
Page,Page
Loading...,Loading...
N/A,N/A
Default,Standard
Ordered,Sortiert
Root,Wurzel
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page","Neue Seite"
Created,"Erstellt um"
Preview,Vorlage
CMS,CMS
Pages,Seiten
"Edit Page","Edit Page"
"Enabled by Default","Standardgemäß aktiviert"
"Disabled by Default","Standardgemäß deaktiviert"
Copy,Kopieren
Update,Update
Template,Vorlage
Public,Öffentlich
Private,Privat
Owner,Besitzer
"Choose Store View:","Shopansicht auswählen:"
Created:,Erstellt:
First,Erste
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy","Aktuelle Hierarchie löschen"
"Pages Hierarchy",Seitenhierarchie
"Page Properties",Seiteneigenschaften
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,Nächste/Vorherige
"Enable Chapter/Section","Kapitel/Abschnitt aktivieren"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Aktiviert die Kapitel/Abschnitt-Funktionalität für diesen Knoten, dessen Unterpunkte und Seiten"
Chapter/Section,Kapitel/Abschnitt
"Defines this node as Chapter/Section","Definiert diesen Knoten als Kapitel/Abschnitt"
"Pagination Options for Nested Pages","Paginierungsoptionen für verschachtelte Seiten"
"Enable Pagination","Paginierung aktivieren"
Frame,Frame
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Falls die derzeitige Frame Position nicht die Äußersten Seiten beinhaltet wird Link zu Inhaltposition plus/minus diesen Wert angezeigt."
"Page Navigation Menu Options","Optionen für das Seitennavigationsmenü"
"Exclude from Navigation Menu","Vom Navigationsmenü ausschließen"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Menü Layout"
"Only Children","Nur Kinder"
"Neighbours and Children","Nachbarn und Kinder"
"Menu Detalization","Menü Detaillierung"
"Maximal Depth","Maximale Tiefe"
"Node Levels to Include","Zu inkludierende Knotenlevel"
"List Type",Listentyp
"List Style",Listenstil
"Main Navigation Menu Options","Optionen für das Hauptnavigationsmenü"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...","Notiz hinzufügen..."
"Add to tree.","Add to tree."
"Node Properties",Knoteneigenschaften
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID","Seiten ID"
"Manage Hierarchies","Hierarchien verwalten"
"No nodes are available.","No nodes are available."
"Version Control",Versionskontrolle
Hierarchy,Hierarchie
"Version Label","Version Label"
"Access Level","Access Level"
Versions,Versionen
"Are you sure you want to delete this revision?","Sind Sie sicher, dass Sie diese Revision löschen wollen?"
Publish,Veröffentlichen
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information",Revisionsinformationen
"Save as new version.","Save as new version."
"New Revision...","Neue Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information",Versionsinformationen
Revision,Revision
Author,Autor
"CMS Page Trees","CMS Seite Baum"
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).","Bitte wählen Sie Version(en)"
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Revision bearbeiten"
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version","Version bearbeiten"
"You have saved the version.","You have saved the version."
"Please select revision(s).","Bitte wählen Sie Revision(en)"
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,Geschützt
"Delete Multiple Hierarchies","Mehrere Hierarchien löschen"
"Under Version Control","Unter Versionskontrolle"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Derzeit veröffentlichte Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed","Angesehener Baum"
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Zugriffslevel für diese Version kann nicht geändert werden, da es die letzte veröffentlichte Version der Seite ist."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,Veröffentlicht
"[No Owner]","[Kein Besitzer]"
Chapter,Kapitel
Section,Bereich
Both,Beide
"Use default","Standard verwenden"
"Numbers (1, 2, 3, ...)","Nummern (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Kleinschrift Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Großschrift Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Kleinschrift Römisch (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Großschrift Römisch (I, II, III, ...)"
Circle,Kreis
Disc,Disk
Square,Quadrat
Unordered,Unsortiert
"Use Parent","Parent verwenden"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Wollen sie die aktuelle Hierarchie wirklich löschen?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Diese Seite kann nicht hinzugefügt werden, da ein Knote oder eine Seite mit dem selben URL Key schon in diesem Baumteil existiert."
"There are unsaved node data. Are you sure you want to proceed?","Es existieren nicht gespeicherte Knotendaten. Wollen Sie wirklich fortfahren?"
