"Are you sure?",您是否确认？
Cancel,取消
Quantity,修订数量
No,否
"All Store Views",所有店铺视图
Delete,删除
Save,保存
Yes,是
Title,标题
"URL Key","URL Key"
"Please wait...","Please wait..."
Previous,上一个
Next,下一个
Page,Page
Loading...,Loading...
N/A,N/A
Default,默认
Ordered,已下单
Root,根
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page",新页面
Created,创建于
Preview,预览
CMS,CMS
Pages,页面
"Edit Page","Edit Page"
"Enabled by Default",默认启用
"Disabled by Default",默认被禁用
Copy,复制
Update,更新
Template,模板
Public,公开
Private,私有
Owner,所有者
"Choose Store View:",选择店铺视图：
Created:,创建：
First,首先
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy",删除当前层次结构
"Pages Hierarchy",页面层次结构
"Page Properties",页面属性
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,下一个/上一个
"Enable Chapter/Section",启用章节/片段
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","为该节点，其子节点，以及页面启用 章节/选区 功能"
Chapter/Section,章节/片段
"Defines this node as Chapter/Section","将本节点定义为 章节/选区"
"Pagination Options for Nested Pages",嵌套页面的走马灯选项
"Enable Pagination",启用页码
Frame,框架
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip",框架皮肤
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","如果当前框架位置没有覆盖最上层页面，则会将链接渲染到当前位置 加/减 该值"
"Page Navigation Menu Options",页面导航菜单选项
"Exclude from Navigation Menu",从导航菜单中排除
"Show in navigation menu.","Show in navigation menu."
"Menu Layout",菜单布局
"Only Children",仅儿童
"Neighbours and Children",邻居和儿童
"Menu Detalization",菜单细节
"Maximal Depth",最大深度
"Node Levels to Include",要包含的节点级别
"List Type",列表类型
"List Style",列表样式
"Main Navigation Menu Options",主导航菜单选项
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...",添加节点...
"Add to tree.","Add to tree."
"Node Properties",节点属性
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID",页面ID
"Manage Hierarchies",管理层次结构
"No nodes are available.","No nodes are available."
"Version Control",版本控制
Hierarchy,层次结构
"Version Label","Version Label"
"Access Level","Access Level"
Versions,版本
"Are you sure you want to delete this revision?",您是否确认要删除该修订？
Publish,发布
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information",修订信息
"Save as new version.","Save as new version."
"New Revision...",新修订...
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information",版本信息
Revision,Revision
Author,作者
"CMS Page Trees",CMS页面树
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).",请选择版本。
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision",编辑修订
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version",编辑版本
"You have saved the version.","You have saved the version."
"Please select revision(s).",请选择修订。
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,受保护
