"Are you sure?","Tem certeza?"
Cancel,Cancelar
Quantity,"Quantidade de revisões"
No,Não
"All Store Views","Todas as Visualizações da Loja"
Delete,Excluir
Save,Salvar
Yes,Sim
Title,Título
"URL Key","Chave URL"
"Please wait...","Please wait..."
Previous,Anterior
Next,Próximo
Page,Page
Loading...,Loading...
N/A,Indisponível
Default,Predefinido
Ordered,Solicitado
Root,Raiz
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page","Nova página"
Created,"Criada Em"
Preview,Visualizar
CMS,SGC
Pages,Páginas
"Edit Page","Edit Page"
"Enabled by Default","Habilitado como padrão"
"Disabled by Default","Desativada por Defeito"
Copy,Copiar
Update,Atualizar
Template,Modelo
Public,Público
Private,Privado
Owner,Proprietário
"Choose Store View:","Escolha a exibição de loja:"
Created:,Criada:
First,Primeiro
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy","Excluir a hierarquia atual"
"Pages Hierarchy","Hierarquia de páginas"
"Page Properties","Propriedades da página"
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,Próximo/Anterior
"Enable Chapter/Section","Ativar capítulo/seção"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Ativa a funcionalidade de capítulo/seção para este nó, os seus subnós e as páginas"
Chapter/Section,Capítulo/Seção
"Defines this node as Chapter/Section","Define este nó como um capítulo/seleção"
"Pagination Options for Nested Pages","Opções de paginação para páginas aninhadas"
"Enable Pagination","Ativar paginação"
Frame,Estrutura
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Ignorar estrutura"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a Posição Atual da Estrutura não cobrir até os Limites das Páginas, fornecerá links para a Posição Atual mais/menos este Valor"
"Page Navigation Menu Options","Opções do menu de navegação de página"
"Exclude from Navigation Menu","Excluir do menu de navegação"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Aparência do menu"
"Only Children","Apenas crianças"
"Neighbours and Children","Vizinhos e crianças"
"Menu Detalization","Detalhamento de menu"
"Maximal Depth","Altura máxima"
"Node Levels to Include","Níveis de Ponto a incluir"
"List Type","Tipo de lista"
"List Style","Estilo de lista"
"Main Navigation Menu Options","Opções do menu de navegação principal"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...","Adicionar ponto..."
"Add to tree.","Add to tree."
"Node Properties","Propriedades do Ponto"
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID","ID da página"
"Manage Hierarchies","Gerenciar hierarquias"
"No nodes are available.","No nodes are available."
"Version Control","Controle de Versão"
Hierarchy,Hierarquia
"Version Label","Version Label"
"Access Level","Access Level"
Versions,Versões
"Are you sure you want to delete this revision?","Tem certeza que deseja excluir esta revisão?"
Publish,Publicar
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Informações de revisão"
"Save as new version.","Save as new version."
"New Revision...","Nova revisão..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Informações da versão"
Revision,Revision
Author,Autor
"CMS Page Trees","Página Árvores CMS"
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).","Escolha a(s) versão(ões)."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Editar revisão"
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version","Editar versão"
"You have saved the version.","You have saved the version."
"Please select revision(s).","Escolha a(s) revisão(ões)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,Protegido
"Delete Multiple Hierarchies","Excluir várias hierarquias"
"Under Version Control","Em Controle de Versão"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Revisão Atualmente Publicada"
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed","Árvore Visualizada"
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Não é possível alterar o nível de acesso da versão porque é a última versão pública de sua página."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,Publicado
"[No Owner]","[Nenhum proprietário]"
Chapter,Capítulo
Section,Seção
Both,Ambos
"Use default","Use padrão"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Alfabeto minusculo (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Alfa Superior (A, B, C,...)"
