"Are you sure?","Weet u het zeker?"
Cancel,annuleren
Quantity,"Herzienings Qty"
No,Nee
"All Store Views","Alle Winkelbezichtigingen"
Delete,weghalen
Save,"Sla op"
Yes,Ja
Title,Titel
"URL Key","URL sleutel"
"Please wait...","Please wait..."
Previous,Vorige
Next,Volgende
Page,Page
Loading...,Loading...
N/A,n.v.t.
Default,Normaal
Ordered,Bestelt
Root,Wortel
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Pages","Manage Pages"
"New Page","Nieuwe Pagina"
Created,"Gemaakt op"
Preview,Voorbeeld
CMS,CMS
Pages,Pagina's
"Edit Page","Edit Page"
"Enabled by Default","Aangesteld door normaal"
"Disabled by Default","Uitgeschakeld door normaal"
Copy,Kopieer
Update,Ververs
Template,Template
Public,Openbare
Private,Privé
Owner,Eigenaar
"Choose Store View:","Selecteer winkel aanzicht:"
Created:,Gemaakt:
First,Eerste
"You're currently reading page","You're currently reading page"
"Delete Current Hierarchy","Verwijder Huidige Hiërarchie"
"Pages Hierarchy","Pagina Hiërarchie"
"Page Properties","Pagina Eigenschappen"
"Preview is not available.","Preview is not available."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
Next/Previous,Volgende/Vorige
"Enable Chapter/Section","Bewerk hoofdstuk/sectie"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Staat Hoofdstuk/Sectie functionaliteit toe voor dit knooppunt, de sub-knooppunten en pagina's"
Chapter/Section,Hoofdstuk/sectie
"Defines this node as Chapter/Section","Definieert dit knooppunt als Hoofdstuk/Sectie"
"Pagination Options for Nested Pages","Paginerings Opties voor in elkaar passende pagina's"
"Enable Pagination","Stel paginatie in werking"
Frame,Beeld
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Beeld Overslaan"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Als de huidige beeldpositie niet het grootste deel van de pagina in beslag neemt, zal het de Link naar de huidige positie plus of min dit bedrag weergeven."
"Page Navigation Menu Options","Pagina Navigatie Menuopties"
"Exclude from Navigation Menu","Uitsluiten van Navigatie Menu"
"Show in navigation menu.","Show in navigation menu."
"Menu Layout","Menu Opmaak"
"Only Children","Alleen Kinderen"
"Neighbours and Children","Buren en Kinderen"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maximale Diepte"
"Node Levels to Include","Knooppunt levels om mee te tellen"
"List Type","Lijst Type"
"List Style",Lijststijl
"Main Navigation Menu Options","Hoofdnavigatie Menuopties"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Add Node...","Schrijf bericht..."
"Add to tree.","Add to tree."
"Node Properties","Knooppunt Eigenschappen"
"The page lock expires in 60 seconds. Save now to avoid data loss.","The page lock expires in 60 seconds. Save now to avoid data loss."
"Page ID","Pagina ID"
"Manage Hierarchies","Beheer Hiërarchieën"
"No nodes are available.","No nodes are available."
"Version Control",Versiecontrole
Hierarchy,Hiërarchie
"Version Label","Version Label"
"Access Level","Access Level"
Versions,Versies
"Are you sure you want to delete this revision?","Weet u zeker dat u deze modificatie wilt verwijderen?"
Publish,Publiceren
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Herzienings Informatie"
"Save as new version.","Save as new version."
"New Revision...","Nieuwe Correctie..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Versie infomatie"
Revision,Revision
Author,Auteur
"CMS Page Trees","CMS pagina bomen"
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"You have saved the hierarchy.","You have saved the hierarchy."
