All,Todos
Back,Voltar
Products,Produtos
ID,Identidade
Customers,"Número de clientes"
"Shopping Cart","Carrinho de compras"
Subtotal,Subtotal
Total,Total
Customer,Cliente
"Grand Total","Total geral"
Average,Média
Tax,Taxas
Shipping,Remessa
Email,E-mail
Name,Nome
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
Description,Descrição
Any,"Qualquer um"
Website,Website
Specified,Especificado
Active,Ativo
"Product Attributes","Atributos do produto"
Conditions,Condições
Inactive,Inativo
"Conditions Combination","Combinação de condições"
Country,País
State/Province,Estado/Província
Sales,Vendas
"Registered Customers","Clientes cadastrados"
"Store Credit","Credito da loja"
Segments,Segmentos
"Add Segment","Adicionar segmento"
"Refresh Segment Data","Atualizar dados do segmento"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Novo segmento"
"Segment Information","Informações do segmento"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Propriedades gerais"
"Segment Name","Segment Name"
"Assigned to Website","Designado ao site"
"Apply To","Aplicar a"
"Visitors and Registered Customers","Visitantes e Clientes Registrados"
Visitors,Visitantes
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,"Nome do segmento"
"Customer Segment Report","Relatório de segmento do cliente"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Relatório de segmentos do cliente"
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments","Segmentos do cliente"
"Edit Segment","Editar segmento"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,Relatórios
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,Detalhes
"Customer Segment data has been refreshed.","Customer Segment data has been refreshed."
Union,União
Intersection,Interseção
"Applies to All of the Specified Customer Segments","Aplica-se a Todos os Segmentos de Clientes Especificados"
"Apply to the Selected Customer Segments","Aplica-se a Segmentos de Cliente Selecionados"
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment","Segmento do cliente"
"Use in Customer Segment","Utilizar no segmento do cliente"
"Unknown operator specified.","O operador especificado não é conhecido."
"Customer Address","Endereço do cliente"
"Product List","Lista de produtos"
"Product History","Histórico do produto"
"Wrong ""ApplyTo"" type","Tipo ""ApplyTo"" errado"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Atributos de endereço"
"Customer Address %1","Customer Address %1"
"Default Address","Endereço padrão"
Billing,Faturamento
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Tem Estado/Província"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,tem
"does not have","não tem"
exists,existe
"does not exist","não existe"
"Customer %1","Customer %1"
"Newsletter Subscription","Assinatura do boletim informativo"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
subscribed,cadastrado
"not subscribed","não cadastrado"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Intervalo de data"
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Atributos do endereço do pedido"
"Order Address %1","Order Address %1"
"Address Type","Tipo de endereço"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Status do pedido"
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Product %1"
"Date Ranges","Intervalo de datas"
viewed,visualizado
ordered,solicitado
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Wish List","Wish List"
found,found
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Endereço do pedido"
"Sales Amount","Montante de vendas"
"Number of Orders","Número de pedidos"
"Purchased Quantity","Quantidade adquirida"
"Number of Orders %1 %2 while %3 of these Conditions match:","Number of Orders %1 %2 while %3 of these Conditions match:"
"%1 Purchased Quantity %2 %3 while %4 of these Conditions match:","%1 Purchased Quantity %2 %3 while %4 of these Conditions match:"
"%1 Sales Amount %2 %3 while %4 of these Conditions match:","%1 Sales Amount %2 %3 while %4 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,"é compatível"
"does not match","não é compatível"
"is one of","é um de"
"is not one of","não é um de"
"Shopping Cart Total","Total do carrinho de compras"
"Gift Card","Cartão de presente"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","O total da cotação especificado não é conhecido."
"Number of Cart Line Items","Número de itens do carrinho de compras"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Quantidade de produtos"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Up To Date",Atualizado
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Website Filter values","Website Filter values"
CSV,CSV
"Excel XML","Excel XML"
Set,Ajustar
Group,Grupo
Phone,Telefone
ZIP,CEP
"Customer Since","Cliente desde"
"Refresh Data","Atualizar Dados"
"Manage Segments","Gerenciar segmentos"
"View Combined Report","Visualizar relatório combinado"
