All,"TOut :"
Back,Retour
Products,Produits
ID,Identification
Customers,"Nombre de clients"
"Shopping Cart",Caddy
Subtotal,Sous-total
Total,Total
Customer,Client
"Grand Total",Total
Average,Moyenne
Tax,TVA
Shipping,Envoyé
Email,Courriel
Name,Nom
Status,État
"Save and Continue Edit","Sauvegarder et continuer à changer"
Description,Description
Any,Tout
Website,"Site internet"
Specified,Précisé
Active,Actif
"Product Attributes","Attributs du produit"
Conditions,Conditions
Inactive,Inactif
"Conditions Combination","Combinaison des conditions"
Country,Pays
State/Province,Région/Département
Sales,Ventes
"Registered Customers","Clients inscrits"
"Store Credit","Avoir de la boutique"
Segments,Segments
"Add Segment","Ajouter segment"
"Refresh Segment Data","Rafraîchir les données du segment"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Nouveau segment"
"Segment Information","Information du segment"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Propriétés générales"
"Segment Name","Segment Name"
"Assigned to Website","Assigné au site internet"
"Apply To","Appliquer à"
"Visitors and Registered Customers","Visiteurs et clients enregistrés"
Visitors,Visiteurs
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,"Nom du segment"
"Customer Segment Report","Rapport sur segment client"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Rapport sur segments client"
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments","Segments client"
"Edit Segment","Changer segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,Rapports
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,Coordonnées
"Customer Segment data has been refreshed.","Les données du segment client ont été rafraîchies."
Union,Union
Intersection,Intersection
"Applies to All of the Specified Customer Segments","S'applique à tous les segments de clients spécifiés"
"Apply to the Selected Customer Segments","Appliquer aux groupes de clients sélectionnés"
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment","Segment client"
"Use in Customer Segment","Utiliser dans le segment Client"
"Unknown operator specified.","Opérateur spécifié inconnu."
"Customer Address","Adresse client"
"Product List","Liste de produit"
"Product History","Historique du produit"
"Wrong ""ApplyTo"" type","Type ""appliquer à"" erroné"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Attributs de l'adresse"
"Customer Address %1","Customer Address %1"
"Default Address","Adresse par défaut"
Billing,Facturation
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
