Remove,Entfernen
No,Nein
Action,Aktion
Website,Webseite
"Order #%1","Order #%1"
Refunded,Zurückvergütet
Created,Erstellt
Comment,Kommentar
Date,Datum
"Store Credit",Shop-Guthaben
"Delete Orphan Balances","Verwaiste Guthaben löschen"
"Balance Change",Guthaben-Veränderung
Balance,Guthaben
"Customer notified","Kunde benachrichtigt?"
Notified,Benachrichtigt
"More information","Zusätzliche Informationen"
"Update Balance","Guthaben aktualisieren"
"An amount on which to change the balance","Betrag, um den das Guthaben geändert werden soll"
"Notify Customer by Email","Kunden per E-Mail benachrichtigen"
"Send Email Notification From the Following Store View","E-Mail-Benachrichtigung aus folgender Shop-Ansicht versenden"
"Failed to initialize customer","Kunde konnte nicht initialisiert werden"
"The store credit payment has been removed from shopping cart.","Shop-Guthaben-Zahlung wurde aus dem Einkaufswagen entfernt."
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping cart."
"A website ID must be set.","A website ID must be set."
"By admin: %1.","By admin: %1."
"By admin: %1. (%2)","By admin: %1. (%2)"
"Please also set the Store ID.","Please also set the Store ID."
"The Store ID must be set to send email notifications.","The Store ID must be set to send email notifications."
"A customer ID must be specified.","A customer ID must be specified."
"This customer is not set or does not exist.","This customer is not set or does not exist."
Updated,Aktualisiert
Used,Verwendet
Reverted,Rückgängig
"You need a balance to save your balance history.","You need a balance to save your balance history."
"There is no credit memo set to balance model.","There is no credit memo set to balance model."
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
"Unknown balance history action code","Unbekannter Aktionscode für Guthaben-Verlauf"
"There is no order set to balance model.","Keine Bestellung für Guthaben-Modell eingestellt."
"You do not have enough store credit to complete this order.","You do not have enough store credit to complete this order."
"The store credit used cannot exceed order amount.","The store credit used cannot exceed order amount."
"Store Credit Balance",Shop-Guthaben
"Balance History",Guthaben-Verlauf
"Refund Store Credit to Store Credit","Shop-Guthaben auf Shop-Guthaben zurückvergüten"
"Refund Money to Store Credit","Geld auf Shop-Guthaben zurückvergüten"
"Refund to Store Credit","Auf Shop-Guthaben zurückvergüten"
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your current balance is:","Ihr aktuelles Guthaben beträgt:"
"Use Store Credit","Shop-Guthaben verwenden"
available,verfügbar
"Refunded to Store Credit","Auf Shop-Guthaben zurückvergütet"
