Custom,Kundenspezifisch
Close,Close
Cancel,Cancel
Back,Back
Price,Preis
ID,ID
Configure,Configure
No,Nein
Qty,Qty
Subtotal,Zwischensumme
"Incl. Tax","Incl. Tax"
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Ja
Status,Status
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Bestellung
View,Ansicht
Active,Active
Dynamic,Dynamisch
N/A,"Nicht zutreffend"
Canceled,Canceled
"General Information","General Information"
Static,Statisch
"Learn More","Erfahren Sie mehr"
"Start Date","Start Date"
"Product Name","Product Name"
"Merchant Liability","Haftbarkeit des Händlers"
Country,Land
State/Province,Staat/Bezirk
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method",Lieferungsart
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung aufgeben."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen."
City,Stadt
"Zip/Postal Code",Postleitzahl
"Email Address",E-Mail-Adresse
Company,Unternehmen
"VAT Number",MwSt.-Nummer
Address,Adresse
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Continue,Continue
"Order #","Order #"
"Billing Address",Rechnungsadresse
"Shipping Address",Lieferadresse
"Payment Method","Payment Method"
"Place Order","Erteilen Sie den Auftrag"
"Sorry, no quotes are available for this order at this time.","Es tut uns Leid, es gibt derzeit keine Preisangabe für diese Bestellung."
Sales,Verkäufe
Created,Created
Daily,Täglich
Date,Date
"Order Total","Order Total"
Never,Niemals
"Customer Information",Kundeninformation
"Change Shipping Address","Change Shipping Address"
Updated,Updated
Reports,Berichte
"Order Status","Order Status"
"View Order","View Order"
Event,Vorgang
"Please Select","Please Select"
"Submitting order information...","Bestellinformationen werden gesendet..."
Authorization,Bewilligung
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements",Rechnungsvereinbarungen
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Rechnungsvereinbarung Ansicht"
"View Transaction Details","Überweisungsdetails zeigen"
"Reference Information",Referenz-Information
"Transaction Information",Überweisungs-Informationen
"PayPal Fee Information","PayPal Gebühren-Information"
"PayPal Settlement Reports","PayPal Abrechnungsberichte"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Aktualisierungen herunterladen"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Hilfe
