Custom,Personalizado
Close,Close
Cancel,Cancel
Back,Back
Price,Preço
ID,ID
Configure,Configure
No,Não
Qty,Qty
Subtotal,Subtotal
"Incl. Tax","Incl. Tax"
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Sim
Status,Status
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Pedido
View,Ver
Active,Active
Dynamic,Dinâmico
N/A,Indisponível
Canceled,Canceled
"General Information","General Information"
Static,Estático
"Learn More","Saiba Mais"
"Start Date","Start Date"
"Product Name","Product Name"
"Merchant Liability","Responsabilidade do Comerciante"
Country,País
State/Province,Estado/Província
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method","Tipo de Frete"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Please select region, state or province","Selecione a região, estado ou província"
City,Cidade
"Zip/Postal Code","Zip/Código Postal"
"Email Address","Endereço de e-mail"
Company,Companhia
"VAT Number","Número VAT"
Address,Endereço
"Street Address","Endereço da Rua"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Continue,Continue
"Order #","Order #"
"Billing Address","Endereço de faturamento"
"Shipping Address","Endereço de Envio"
"Payment Method","Payment Method"
"Place Order","Colocar Ordem"
"Sorry, no quotes are available for this order at this time.","Desculpe, não há citações disponíveis neste momento para esta ordem."
Sales,Vendas
Created,Created
Daily,Diário
Date,Date
"Order Total","Order Total"
Never,Nunca
"Customer Information","Dados do Cliente"
"Change Shipping Address","Change Shipping Address"
Updated,Updated
Reports,Relatórios
"Order Status","Order Status"
"View Order","View Order"
Event,Evento
"Please Select","Please Select"
"Submitting order information...","Enviando informações da ordem..."
Authorization,Autorização
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Contratos de faturamento"
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Visualização de Contrato de Faturamento"
"View Transaction Details","Visualizar Detalhes da Transação."
"Reference Information","Informação de Referência"
"Transaction Information","Informação da Transação"
"PayPal Fee Information","Informação de Taxa PayPal"
"PayPal Settlement Reports","Relatórios de Pagamento PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Buscar Atualizações"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Ajuda
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
