Custom,Zelfgekozen
Close,Close
Cancel,Cancel
Back,Back
Price,Prijs
ID,ID
Configure,Configure
No,Nee
Qty,Qty
Subtotal,Subtotaal
"Incl. Tax","Incl. Tax"
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Ja
Status,Status
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Bestelling
View,Bekijk
Active,Active
Dynamic,Dynamisch
N/A,Nvt
Canceled,Canceled
"General Information","General Information"
Static,Statisch
"Learn More","Meer Informatie"
"Start Date","Start Date"
"Product Name","Product Name"
"Merchant Liability","Winkelier Aansprakelijkheid"
Country,Land
State/Province,Staat/Provincie
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method",Verzendingsmethode
"Please agree to all the terms and conditions before placing the order.","Ga alstublieft akkoord met alle voorwaarden voor het plaatsen van de bestelling."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Please select region, state or province","Selecteer a.u.b. uw provincie"
City,Stad
"Zip/Postal Code",Zip/Postcode
"Email Address",e-mailadres
Company,Bedrijf
"VAT Number","BTW nummer"
Address,Adres
"Street Address","Adres straat"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Continue,Continue
"Order #","Order #"
"Billing Address",Facturatieadres
"Shipping Address",Verzendingsadres
"Payment Method","Payment Method"
"Place Order","Bestelling plaatsen"
"Sorry, no quotes are available for this order at this time.","Sorry, geen prijsopgaven zijn beschikbaar voor deze bestelling op dit moment."
Sales,Verkoop
Created,Created
Daily,Dagelijks
Date,Date
"Order Total","Order Total"
Never,Nooit
"Customer Information",Klantinformatie
"Change Shipping Address","Change Shipping Address"
Updated,Updated
Reports,Verslagen
"Order Status","Order Status"
"View Order","View Order"
Event,Gebeurtenis
"Please Select","Please Select"
"Submitting order information...","Bestellingsinformatie aan het overbrengen..."
Authorization,Autorisatie
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Facturering Overeenkomsten"
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Factureringsovereenkomst Beeld"
"View Transaction Details","Bekijk Transactie Details"
"Reference Information",Verwijsinformatie
"Transaction Information","Transactie Informatie"
"PayPal Fee Information","PayPal kosten informatie"
"PayPal Settlement Reports","PayPal Overeenstemming Rapporten"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Updates halen"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Help
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
