Custom,Personnalisé
Close,Close
Cancel,Cancel
Back,Back
Price,Prix
ID,ID
Configure,Configure
No,Non
Qty,Qty
Subtotal,Sous-total
"Incl. Tax","Incl. Tax"
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Oui
Status,Status
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Commande
View,Vue
Active,Active
Dynamic,Dynamique
N/A,N/A
Canceled,Canceled
"General Information","General Information"
Static,Statique
"Learn More","En savoir plus"
"Start Date","Start Date"
"Product Name","Product Name"
"Merchant Liability","Responsabilité du vendeur"
Country,Pays
State/Province,"Etat / région"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method","Méthode d'expédition"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter toutes les conditions générales avant de passer la commande."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Please select region, state or province","Veuillez sélectionnez la région, l'état ou le pays"
City,Ville
"Zip/Postal Code","Code postal"
"Email Address","Adresse email"
Company,Compagnie
"VAT Number","Numéro TVA"
Address,Adresse
"Street Address","Adresse de la rue"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Continue,Continue
"Order #","Order #"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse d'expédition"
"Payment Method","Payment Method"
"Place Order","Placer une commande"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'est actuellement disponible pour cette commande."
Sales,Ventes
Created,Created
Daily,"Tous les jours"
Date,Date
"Order Total","Order Total"
Never,Jamais
"Customer Information","Informations du client"
"Change Shipping Address","Change Shipping Address"
Updated,Updated
Reports,Rapports
"Order Status","Order Status"
"View Order","View Order"
Event,Évènement
"Please Select","Please Select"
"Submitting order information...","Traitement de la commande..."
Authorization,Autorisation
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Accords de facturation"
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Voir l'accord de facturation"
"View Transaction Details","Voir les détails de la transction"
"Reference Information","Informations de référence"
"Transaction Information","Information de la transaction"
"PayPal Fee Information","Informations des frais Paypal"
"PayPal Settlement Reports","Rapports sur le règlement PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Mises à jour de récupération"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Aide
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
