"%s (Default Template from Locale)","%s（区域设置中的默认模板）"
"PDF aggregator hasn't been found.","未找到PDF aggregator。"
"PDF renderer adapter hasn't been found.","未找到PDF渲染程序适配器。"
"Page Number","页码"
"Page Orientation","页面方向"
"Page Size","页面尺寸"
"Pages Quantity","页面数量"
"Payment Information","付款信息"
"Please make sure that popups are allowed.","请确保允许弹出式窗口。"
"Please select entities to print.","请选择打印的实体。"
"Please select orders to print.","请选择打印的订单。"
"Position","位置"
"Positive Adjustment","正调整"
"Positive Adjustment Amount","正调整金额"
"Prefix","前缀"
"Preview HTML","预览HTML"
"Preview PDF","预览PDF"
"Price","价格"
"Price with Discount","含折扣的价格"
"Price with Discount Excluding Tax","不含税费的折扣价格"
"Price with Tax","含税费的价格"
"Price with taxes","含税费的价格"
"Printed Credit Memo","已打印的贷项通知单"
"Printed Invoice","已打印的账单"
"Printed Shipment","已打印的运送"
"Printed Shipment Template","已打印的运送模板"
"Printed Template","已打印的模板"
"Printed Template Preview","预览已打印的模板"
"Printed Templates","已打印的模板"
"Product Name","产品名称"
"Product SKU","产品SKU"
"Quantity","数量"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","礼品消息接收人"
"Refunded Balance Amount","已退款余额"
"Refunded Customer Balance","已退还的客户余额"
"Refunded Discount Amount","已退还的折扣金额"
"Refunded Shipping Amount","已退还的运费金额"
"Refunded Subtotal Amount Without Tax","不含税费的已退还的小计金额"
"Refunded Tax Amount","已退还的税费金额"
"Reset","重设"
"Save","保存"
"Save And Continue Edit","保存并继续编辑"
"Select Template Type","选择模板类型"
"Sender of Gift Message","礼品消息发送人"
"Shipment","发货"
"Shipping Address","送货地址"
"Shipping Amount Including Tax","含税费的运费金额"
"Shipping Amount Without Tax","不含税费的运费金额"
"Shipping Discount Amount","运费折扣金额"
"Shipping Excluding Tax","不含税费的运费"
"Shipping Including & Excluding Tax","包含和不包含税费的金额"
"Shipping Including Tax","包含税费的运费"
"Shipping Method Description","发货方式描述"
"Shipping Tax Amount","运费税费金额"
"Shipping Tax Rate","运费税率"
"Shipping Total Amount","运费总额"
"Shoe Size","鞋的尺寸"
"Sort Order","排序"
"State/Region","省/直辖市/自治区（地区）"
"Status","状态"
"Store Currency Code","店铺币种代码"
"Store Name","店铺名称"
"Street","街道"
"Street Multiline","多行街道地址"
"Subtotal","小计"
"Subtotal Amount Including Tax","含税费的小计金额"
"Subtotal Amount WIth Shipping Without Tax","不含税费的运费小计金额"
"Subtotal Amount Without Tax","不含税费的小计金额"
"Subtotal Excluding Tax","不含税费的小计"
"Subtotal Including & Excluding Tax","包含和不包含税费的小计"
"Subtotal Including Tax","包含税费的小计"
"Subtotal by Tax","包含税费的小计"
"Subtotal with Discount","含折扣的小计"
"Subtotal with Discount Excluding Tax","不含税费但含有折扣的小计"
"Subtotal with Discount and Tax","含有折扣和税费的小计"
"Suffix","后缀"
"System","系统"
"Table Header","表头"
"Table Row","表格的行"
"Tax Amount","税额"
"Tax Amount Without Discount","不含折扣的税费金额"
"Tax Grid","税费表格"
"Tax Rate","税率"
"Tax Rate(s)","税率"
"Tax Rates","税率"
"Tax Total","税费总计"
"Tax/VAT Number","税费/增值税号"
"Telephone","电话"
"Template Content","模板内容"
"Template Information","模板信息"
"Template Name","模板名称"
"Template Type","模板类型"
"Templates","模板"
"Texas","得克萨斯州"
"Text of Gift Message","礼品消息的文本"
"The Printed template has been saved.","已保存已打印的模板。"
"The printed template has been deleted.","已移除已打印的模板。"
"The template can contain only one footer separator.","模板仅能包含一个页脚分隔符。"
"The template can contain only one header separator.","模板仅能包含一个页眉分隔符。"
"There are no printable documents related to selected orders.","不存在与所选订单相关的可打印文档。"
"This Printed template no longer exists.","此已打印的模板不再存在。"
"This widget is available only for printed templates.","此工具仅可用于已打印的模板。"
"Time of Last Update","最近更新的时间"
"Title","标题"
"Total (ex)","合计（不含）"
"Total (inc)","合计（含）"
"Total Adjustment","总计调整"
"Total Amount Refunded Offline","线下退还的总额"
"Total Amount Refunded Online","在线退还的总额"
"Total Canceled Amount","共计取消的金额"
"Total Discount (Including Store Credit and Gift Cards)","总计折扣（包括店铺信用额和礼品卡）"
"Total Discount Amount","折扣总额"
"Total Due Amount","应付总额"
"Total Gift Cards Amount","礼品卡总额"
"Total Gift Cards Invoiced Amount","已开账单的礼品卡金额"
"Total Gift Cards Refunded Amount","已退还的礼品卡金额"
"Total Invoiced Amount","已开账单的总额"
"Total Item Count","物品总数"
"Total Items Quantity","项目总数"
"Total Paid","已付款总额"
"Total Refunded Amount","已退款总额"
"Total Refunded Balance Amount","已退款总余额"
"Tracking Numbers","跟踪号"
"Transactional Emails","交易电子邮件"
"US","美国"
"Unable to find a Printed Template to delete.","无法找到要移除的已打印的模板。"
"Unknown","未知"
"Used Currently For","当前用于"
"Weight","重量"
"Weight Of All Items","所有物品的重量"
"Width, px","宽度，px"
"Wrong column name specified.","指定的列名称错误。"
"Wrong type of PDF aggregator.","PDF aggregator的类型错误。"
"Wrong type of PDF renderer adapter.","PDF渲染程序适配器的类型错误。"
"Your Coupon:","您的优惠券："
"Zero Tax","无税费"
"Zip Code","邮政编码"
"Print","打印"
"Add/Edit","添加/编辑"
"Active only when Printed Template module is disabled","仅在停用已打印的模板时有效"
"Load Default Template","加载默认模板"
"Auto Header Height","自动页眉的高度"
"Auto Footer Height","自动页脚的高度"
"Load Sample Template","加载示例模板 "
"Sample Template","示例模板"
"Template","模板"
"Magento Standard","Magento标准"
"UK Standard","英国标准"
"French Standard","法国标准"
"German Standard","德国标准"
"Percents","百分比"
"Landscape","横向"
"Millimeters","毫米"
"Percents","百分比"
